Epoch,MSE,SSIM
1,0.00017830824485957827,0.9764046934562166
2,0.00017494746565766591,0.9766797534573259
3,0.00016253239641660628,0.9768138400317531
4,0.00016032389340382258,0.9768349248526295
5,0.00015822555983505376,0.977096855284018
6,0.000157040511105431,0.977196832057299
7,0.00015542847702474847,0.9771386950671831
8,0.00015510456234946553,0.97725857251804
9,0.00015369052326487043,0.9772383634219697
10,0.00015362294199579673,0.9773891232620139
11,0.00015300072643344495,0.9773618949573887
12,0.0001522933290971699,0.9773395998860583
13,0.0001519679077199079,0.9773786736005035
14,0.00015126344237843768,0.9773854801558548
