Index,Dice
800,0.5591912930962114
1600,0.5992751313386226
2400,0.6107994969207244
3200,0.6173431376604384
4000,0.6427148506848144
4800,0.6433075357786662
5600,0.6503453250551867
6400,0.6487513719707947
7200,0.6515336620101839
8000,0.6548270065676268
8800,0.6588861369130012
9600,0.6622969438598421
10400,0.6642071179506326
11200,0.6590228211007931
12000,0.6592350403009765
12800,0.6675384398798483
13600,0.6591438218393482
14400,0.663726813148335
15200,0.6655725307693785
16000,0.6664414435072882
16800,0.6631121326529433
17600,0.6688210567024486
18400,0.6549708529046854
19200,0.6702431137109873
20000,0.674613405524606
20800,0.6683526923001442
21600,0.6667140733121514
22400,0.6737029064447541
23200,0.6689798689223732
24000,0.6675419791874371
24800,0.6826808825358099
25600,0.674440485615524
26400,0.6726572821536178
27200,0.6806019643694482
28000,0.676553875961247
28800,0.6774787163901833
29600,0.6793609652906036
