Index,MSE,SSIM,Mean MSE,Mean SSIM
1,0.0013250394258471389,0.8965312469888824,-,-
2,0.0003994071367540461,0.9202358361961969,-,-
3,0.00015991862747856056,0.9586763332668439,-,-
4,8.745449962132433e-05,0.9655412224470817,-,-
5,0.004956695278330759,0.7248494842625544,-,-
6,0.0006344607553545513,0.8984883704096629,-,-
7,0.0006290682813198986,0.8373492618718762,-,-
8,0.0001933281372300798,0.9572828114064922,-,-
9,0.00039863047928260684,0.914460597216908,-,-
10,0.00088209423922043,0.8935806237984246,-,-
11,0.00023141634632303985,0.9409765139541684,-,-
12,0.00021759978641919535,0.9423154350223462,-,-
13,0.0003204539474664032,0.9000138112095647,-,-
14,0.00020144332524131266,0.9383353446335068,-,-
15,0.0003274725480818822,0.9446431534505513,-,-
16,0.000654619650206272,0.862746092587948,-,-
17,0.0025515933889239156,0.8512293987503596,-,-
18,7.844902385518868e-05,0.9789590205737054,-,-
19,0.00020629853764444423,0.9431337220087461,-,-
20,0.0014074489615240138,0.8088185538942455,-,-
21,0.0006045451010178735,0.8948325064429322,-,-
22,0.0003739396115719756,0.8891923863858051,-,-
23,9.204494243191974e-05,0.9781059117481378,-,-
24,0.00033643720520250183,0.9302519577305906,-,-
25,0.0003591687779283655,0.9175872929963181,-,-
26,0.0005378044091859604,0.9141503798502657,-,-
27,9.684168488336625e-05,0.9591472229796055,-,-
28,0.0001426181410195946,0.9660900468794994,-,-
29,0.00013347476442401306,0.9556620496921401,-,-
30,9.701268191187918e-05,0.960388453903208,-,-
31,0.0002587648388187525,0.9405795752835939,-,-
32,0.00015826161111193854,0.9542186336800679,-,-
33,0.00034110156285768034,0.8830087159351175,-,-
34,6.118384000856088e-05,0.9802570211886019,-,-
35,0.0007308964601960287,0.8388610921337857,-,-
36,0.0009922196352026619,0.8405569154405194,-,-
37,0.0006184035827738695,0.9012122249290853,-,-
38,0.00047732662142416254,0.924423654174143,-,-
39,0.00011083365464226593,0.9786738981660397,-,-
40,0.0006162324721150733,0.9015080360962118,-,-
41,0.0004024928057137278,0.9230201066343299,-,-
42,0.00022126353565591426,0.9449169771400774,-,-
43,0.00014964225766825142,0.9622438813849289,-,-
44,0.00037370793817850654,0.9153407641924258,-,-
45,6.568051025513308e-05,0.9736576218330194,-,-
46,0.0002046779270967959,0.9503630325552954,-,-
47,0.0001377905087823522,0.9705770219377711,-,-
48,0.0005635245686875757,0.8963842966101719,-,-
49,0.0002558435476477704,0.9131253905619661,-,-
50,4.641741919149295e-05,0.9861071978869034,-,-
51,0.0008499942357453289,0.8758563732964524,-,-
52,8.001778369096534e-05,0.9825811612434804,-,-
53,0.0010796377290050122,0.8648399364311399,-,-
54,0.0003924966503888527,0.9337159822158257,-,-
55,0.00040672911919430616,0.9406564338099297,-,-
56,0.00033501075902271334,0.950113380041264,-,-
57,0.0004536793871907781,0.9281943166520393,-,-
58,0.0002060260456054591,0.9322639833612465,-,-
59,0.0004229749401096697,0.9268605578945172,-,-
60,4.454969035747757e-05,0.9708392784344895,-,-
61,7.903041375213263e-05,0.9653658805299515,-,-
62,0.00038083134342436434,0.93640742990556,-,-
63,0.00034187932353575516,0.9155858837225079,-,-
64,0.00039337700928403544,0.9179048411851976,-,-
65,0.0005163404208843635,0.9314215363149702,-,-
66,0.000498750894286879,0.841650405658918,-,-
67,0.0014573624425436194,0.8462477481121401,-,-
68,0.00012206098857243407,0.9567231369092841,-,-
69,0.00026991274187115985,0.9229165474156872,-,-
70,0.0009432063707976791,0.8237933092270945,-,-
71,0.0035971144527240104,0.7824185901229319,-,-
72,0.0001888888337285571,0.923345820655645,-,-
73,0.00028142911593984657,0.9369968791472492,-,-
74,0.0002743520453726825,0.950322166110724,-,-
75,0.00021050727095913335,0.9243583798102026,-,-
76,0.0012186715516656489,0.8589675152027176,-,-
77,0.0010453588924246662,0.8526030312274492,-,-
78,0.0008041703417237712,0.8482920274075862,-,-
79,0.00013286027832800208,0.9457476355255457,-,-
80,9.310071118215762e-05,0.9792187686043499,-,-
81,0.00019065948037864263,0.9407982776152831,-,-
82,0.0008599418499782393,0.8405089709218191,-,-
