Image Pair,MSE,SSIM,Mean MSE,Mean SSIM
6,0.00016283547164510034,0.958811629795504,-,-
7,0.00011971011566544111,0.961293057554111,-,-
8,8.043247408740058e-05,0.969573592358246,-,-
9,0.00016580419737901377,0.9498766509120249,-,-
0,0.00015071664009369925,0.9549961218631926,-,-
1,0.0002599184644405862,0.9472663355991244,-,-
2,0.00016622746569758983,0.957048632082588,-,-
3,0.00010940661494478848,0.9658804750392771,-,-
4,7.630637539260932e-05,0.9715685241249544,-,-
5,7.419253537350117e-05,0.9694000249477498,-,-
6,8.666295943542829e-05,0.9656986370443609,-,-
7,8.442971771899989e-05,0.9692569375372897,-,-
8,7.313468289377879e-05,0.9724987416847374,-,-
9,5.699977096465284e-05,0.9756592418352891,-,-
0,0.00010861329593924763,0.9622326956892121,-,-
1,8.46838089381729e-05,0.9688718781994228,-,-
2,8.507240269676534e-05,0.9693859927212779,-,-
3,9.184539510384333e-05,0.9698408180285862,-,-
4,6.59501227569463e-05,0.9758860734464727,-,-
5,4.624798254362244e-05,0.9789724211341226,-,-
6,6.0775245101581114e-05,0.9785216228895377,-,-
7,5.945924248741293e-05,0.9732085292219197,-,-
8,4.599449063030949e-05,0.9784855618307771,-,-
9,4.678270754260446e-05,0.9787326430296944,-,-
0,2.950455880369356e-05,0.9852147114550425,-,-
1,5.370572214062777e-05,0.9727223519264542,-,-
2,7.021320570519427e-05,0.969252799036261,-,-
3,5.278761813971203e-05,0.9787327694026359,-,-
4,0.000394517168163687,0.9739737159208501,-,-
5,3.283401310380026e-05,0.9843255884572385,-,-
6,6.823550429624064e-05,0.9778566945329863,-,-
7,7.246700877655535e-05,0.973567354173635,-,-
8,0.0001343436981894103,0.9690160735848626,-,-
9,7.081768597927144e-05,0.9786780362659455,-,-
0,5.4347311274109664e-05,0.9812830231213447,-,-
1,5.207582547429566e-05,0.9816178002505921,-,-
2,6.932871093981534e-05,0.9758131570339356,-,-
3,7.163483014434564e-05,0.972286457525846,-,-
4,6.633698634117786e-05,0.9783942530718327,-,-
5,5.20964370467818e-05,0.9804900405648738,-,-
6,4.464414181701599e-05,0.9835610266138868,-,-
7,0.0001286485713852733,0.9842850605841243,-,-
8,9.716434129549475e-05,0.9815399321286302,-,-
9,0.00010130843653422389,0.9756172703524073,-,-
0,4.920131726448721e-05,0.9844077301614551,-,-
1,6.483842188710826e-05,0.9867034365443348,-,-
2,3.008234404834706e-05,0.988983095648659,-,-
3,6.44574934875806e-05,0.9825273195953516,-,-
4,4.5885807523466496e-05,0.9810580296420393,-,-
5,6.77014647623822e-05,0.9830924870400894,-,-
6,6.0667788403988274e-05,0.9847122999446153,-,-
7,5.3284596909834095e-05,0.9873315475029878,-,-
8,0.0008259859159063291,0.8621689549850737,-,-
9,0.0010369294989685137,0.8640814546455523,-,-
0,0.0011590732646057254,0.8670928457547359,-,-
1,0.001357106202801964,0.8621718144218105,-,-
2,0.0010370730436825883,0.8800055115713543,-,-
3,0.0005400424565811676,0.905255801998134,-,-
4,0.0003549772912825544,0.9010290497524212,-,-
5,0.0003942895697363232,0.8979399799744674,-,-
6,0.0006177235112799754,0.8764855955400942,-,-
7,0.0003714851189157997,0.9078341666728602,-,-
8,0.00032326031653109795,0.9164453641137914,-,-
9,0.0005168896223923069,0.861784193268469,-,-
0,0.000461561644661998,0.8660106513896477,-,-
1,0.0007506247762888127,0.839125191671089,-,-
2,0.0007712875160393761,0.816146684060806,-,-
3,0.0009240831140908312,0.8125627363586619,-,-
4,0.0004805115637639952,0.8614560115139591,-,-
5,0.0005872452098606432,0.9008595806252706,-,-
6,0.0007196240740124606,0.8970908214368498,-,-
7,0.0005655602010923295,0.8886387169906428,-,-
8,0.000439182252566306,0.8851586949392264,-,-
9,0.0005248669170974594,0.8952996807244402,-,-
0,0.0009367453964467562,0.8712524829050646,-,-
1,0.0010545094540377672,0.8626263521285851,-,-
2,0.0010186627372438587,0.8662053100823855,-,-
3,0.000480878859211202,0.8646617121937707,-,-
4,0.00038717956786533665,0.8796788345931507,-,-
5,0.0004127873991606669,0.8942553514700172,-,-
6,0.0002869028135057402,0.9179595020027002,-,-
7,0.00030816344715366443,0.9252854053586224,-,-
8,0.0004179779567843589,0.8951609928383351,-,-
9,0.0007464467204467588,0.8714199364681388,-,-
0,0.0006712102678099761,0.8825231474876069,-,-
1,0.0004361731860483792,0.8822239698539857,-,-
2,0.0009184636481139101,0.8673380123326493,-,-
3,0.0005377718273824705,0.879151379396892,-,-
4,0.0004707409906868637,0.8905682009537979,-,-
5,0.00032873685397730965,0.9154348643553234,-,-
6,0.0003066810982439509,0.921550925806103,-,-
7,0.0003571510231674966,0.9174205746190247,-,-
8,0.0009933026110318694,0.8810762742191395,-,-
9,0.0013073782137285634,0.8560637256939487,-,-
0,0.0023413393778747692,0.850850369413096,-,-
1,0.0012877560244243457,0.8771857263160032,-,-
2,0.0006177417456971322,0.9006564247677971,-,-
3,0.000511612389394426,0.8865526722435061,-,-
4,0.0004664214579200707,0.8838455343496596,-,-
5,0.00043819701826995405,0.8919037836251137,-,-
6,0.0003660896212906815,0.9101024521102313,-,-
7,0.00028230427535439693,0.9301423039968785,-,-
8,0.0002919795799266459,0.9341242459192585,-,-
9,0.0014029908560581035,0.8838786373194423,-,-
0,0.002254086321174758,0.824563491993628,-,-
1,0.002270269295701901,0.8402864218203058,-,-
2,0.0037994875034707237,0.8674566320686619,-,-
3,0.0006730927704652524,0.8979006036509316,-,-
4,0.0007033123121591827,0.8776364752006809,-,-
5,0.0005780419972672146,0.8878041812416008,-,-
6,0.00044816484098054944,0.9037551448197165,-,-
7,0.00036466591721996385,0.9237637526337154,-,-
8,0.0002751989615846977,0.938277674139512,-,-
9,0.000365983872057185,0.9342617851345614,-,-
0,0.0007330799337591797,0.910858608653379,-,-
1,0.0012535258432175129,0.8792484970436047,-,-
2,0.0015830648324654162,0.8813546749360015,-,-
3,0.0014020972635919637,0.8926136123647925,-,-
4,0.00028974801673254346,0.9274532447350289,-,-
5,0.000566556261867361,0.9088361712026324,-,-
6,0.00027234304714104186,0.9161717964070867,-,-
7,0.00031725793450212134,0.9205752567862819,-,-
8,0.00020653290358896905,0.9390657866747711,-,-
9,0.00013533434304125464,0.951514535144794,-,-
0,0.0002639479331158327,0.932992155051111,-,-
1,0.00035232976956427756,0.9306144221958119,-,-
2,0.0009920966815857432,0.9093494096043698,-,-
3,0.0016844855149560313,0.9143066230055168,-,-
4,0.001214150835153818,0.9240523675363878,-,-
5,0.00035716129067303923,0.9435882023900307,-,-
6,0.00024806722936686305,0.9472862906151467,-,-
7,0.00021450932980504866,0.9506805884892142,-,-
8,0.00015554451706121784,0.9610888232215187,-,-
9,9.452582624619276e-05,0.9732416763528703,-,-
0,8.015117369598831e-05,0.9743537040802726,-,-
1,0.00020982877960203374,0.9591127921192307,-,-
2,0.0006790889376303955,0.9437569175180812,-,-
3,0.0024081199507014835,0.8953905404492764,-,-
4,0.0006117426600345099,0.9488507483312346,-,-
5,0.0013422666206030001,0.9212784177397247,-,-
6,0.0002517678283365123,0.9546815577478402,-,-
7,0.00041352324612216194,0.951967060956291,-,-
8,0.0001954610800151635,0.9602193297992851,-,-
9,0.00011144749144112153,0.9709546098602752,-,-
0,8.611269525764893e-05,0.975766005240792,-,-
1,7.132889503003173e-05,0.9782139320734683,-,-
2,0.00010019649694863818,0.9720256683561325,-,-
3,0.00029785077864771553,0.9566593962951742,-,-
4,0.0005297331872739226,0.948052255076324,-,-
5,0.00101452194316765,0.9396225139098207,-,-
6,0.0005222737778493817,0.9517749243027941,-,-
7,0.00028527699512669453,0.9675357384124199,-,-
8,0.0002518378782196848,0.9656390576516978,-,-
9,0.0002512695982903884,0.964640463366435,-,-
0,0.00012088040429211932,0.9702153872072085,-,-
1,8.791606213902803e-05,0.9786064063984332,-,-
2,7.975168769054527e-05,0.9777657026341317,-,-
3,7.640419611261644e-05,0.9767374098683506,-,-
4,0.00010540386793300161,0.9718704493895689,-,-
5,0.000514647208193083,0.9581326445283975,-,-
6,0.0002253902278157856,0.9676993295660336,-,-
7,0.0001462812694015846,0.972862978579431,-,-
8,7.286756931325732e-05,0.9776247417953569,-,-
9,9.808117190406112e-05,0.9776055541281637,-,-
0,7.810244662869833e-05,0.9756111021252858,-,-
1,7.062538558756026e-05,0.9783345618128624,-,-
2,4.4548332695567826e-05,0.9848459937797431,-,-
3,4.119165649960714e-05,0.98490018886783,-,-
4,4.503987166537063e-05,0.9840398539761523,-,-
