Image Pair,MSE,SSIM,Time,Mean MSE,Mean SSIM,Mean Time,Mean NegJ
1,0.00030741074927451145,0.9133738177937285,0.6559977531433105,-,-,-,-
2,0.0006042427904911644,0.8490020486033257,0.009638309478759766,-,-,-,-
3,0.0010410464228264307,0.8342984724116603,0.008600711822509766,-,-,-,-
4,0.0013433581474651733,0.8544918464833854,0.01497030258178711,-,-,-,-
5,0.0012055235260882433,0.8602680016174862,0.018416166305541992,-,-,-,-
6,0.0010525738466589682,0.870129901361583,0.012843847274780273,-,-,-,-
7,0.0008401349320092712,0.8833763016316434,0.00831913948059082,-,-,-,-
8,0.0006875736170881617,0.8848773518706335,0.008385896682739258,-,-,-,-
9,0.0005241997003751648,0.8839661814824312,0.008307218551635742,-,-,-,-
10,0.0011272389068207184,0.8303326570983627,0.008340835571289062,-,-,-,-
11,0.0013188294992330571,0.8109236250009123,0.008560657501220703,-,-,-,-
12,0.00028840361209131525,0.9295543417805597,0.008406877517700195,-,-,-,-
13,0.0005991051838661102,0.8752079695289903,0.01006007194519043,-,-,-,-
14,0.0009014797666474538,0.863177678625876,0.008941650390625,-,-,-,-
15,0.0006490947685176496,0.8924220864889983,0.01238560676574707,-,-,-,-
16,0.0006959612235673924,0.896465107784584,0.009044885635375977,-,-,-,-
17,0.0005001706963643329,0.9167215712347566,0.011179685592651367,-,-,-,-
18,0.00033465335330940525,0.9336401844356539,0.015369176864624023,-,-,-,-
19,0.0004524515784697256,0.9222801427867393,0.011574983596801758,-,-,-,-
20,0.0006511622134054767,0.8876821446565455,0.012654781341552734,-,-,-,-
21,0.0010436952551364305,0.8270589208655968,0.015767812728881836,-,-,-,-
22,0.0011968280949613986,0.8271638960284712,0.009477615356445312,-,-,-,-
23,0.00026853263854138517,0.9398018420172978,0.008941650390625,-,-,-,-
24,0.0003608202811427077,0.9151279990452512,0.009031534194946289,-,-,-,-
25,0.0005262703823859435,0.8961338435938335,0.017874956130981445,-,-,-,-
26,0.0005021907193676142,0.9054137402331021,0.010313034057617188,-,-,-,-
27,0.0004259215810543327,0.9206759881469034,0.02016758918762207,-,-,-,-
28,0.0003032439301386929,0.9343335789321074,0.01032257080078125,-,-,-,-
29,0.00023850998816322177,0.9482275375257102,0.008471012115478516,-,-,-,-
30,0.00036307748561585743,0.9350290035730914,0.008727788925170898,-,-,-,-
31,0.0007097733561260471,0.8855711507411435,0.00846242904663086,-,-,-,-
32,0.001156779407686904,0.8433761310537009,0.008499860763549805,-,-,-,-
33,0.0010371752871552893,0.8574956676338644,0.008700132369995117,-,-,-,-
34,0.00024077486072288023,0.944667244841738,0.008398771286010742,-,-,-,-
35,0.00030744053389050464,0.9229290237523549,0.008406639099121094,-,-,-,-
36,0.0003776960156061876,0.9151299041761647,0.008398056030273438,-,-,-,-
37,0.0003833830748248637,0.9167991705485099,0.008838891983032227,-,-,-,-
38,0.0003619278819707621,0.9262614517165357,0.008447647094726562,-,-,-,-
39,0.0003022278731481212,0.935795228344906,0.008409976959228516,-,-,-,-
40,0.00023230445291543534,0.9480491140630187,0.008504629135131836,-,-,-,-
41,0.0003224684241671249,0.938364751108555,0.008417367935180664,-,-,-,-
42,0.0005127450818327859,0.9079593068027011,0.00845479965209961,-,-,-,-
43,0.0011531255324410065,0.8628449014052775,0.008550405502319336,-,-,-,-
44,0.0007155155684658226,0.8807667295814017,0.008448600769042969,-,-,-,-
45,0.0002930635997720486,0.9415322838324829,0.008460044860839844,-,-,-,-
46,0.0003255849320400738,0.9243785801041149,0.008599042892456055,-,-,-,-
47,0.0003680506626009088,0.9189312783821901,0.008420228958129883,-,-,-,-
48,0.0004089995167807341,0.9250997331218175,0.008413076400756836,-,-,-,-
49,0.000374473548067043,0.9321972794677771,0.008451700210571289,-,-,-,-
50,0.0002950349879416024,0.9384303341723682,0.008478164672851562,-,-,-,-
51,0.00022729144442148333,0.949006815695602,0.008542776107788086,-,-,-,-
52,0.00041368817981298823,0.929978433642635,0.008361101150512695,-,-,-,-
53,0.0005489798902315348,0.9117921101137403,0.008408784866333008,-,-,-,-
54,0.0008372609762489886,0.8905237245552748,0.008597612380981445,-,-,-,-
55,0.000870039444667615,0.8934340768842509,0.008449316024780273,-,-,-,-
56,0.00020019452375902056,0.9513966078381024,0.008383035659790039,-,-,-,-
57,0.00020179416965711503,0.9450544689486666,0.008568048477172852,-,-,-,-
58,0.0002310600140045234,0.9385141942635733,0.008436441421508789,-,-,-,-
59,0.0002346818161821551,0.942529185967991,0.008453845977783203,-,-,-,-
60,0.0002284498033769352,0.9471086720136187,0.008484125137329102,-,-,-,-
61,0.00020921984145194655,0.9484153223966412,0.00848841667175293,-,-,-,-
62,0.00016305062657251724,0.9555288845235638,0.00878763198852539,-,-,-,-
63,0.00024411650964621247,0.9438180528911111,0.009135246276855469,-,-,-,-
64,0.00028409670893385103,0.9363404506642912,0.008519887924194336,-,-,-,-
65,0.0004695357647344483,0.907784590539905,0.00879359245300293,-,-,-,-
66,0.00039848701622916926,0.9214218951132871,0.008669137954711914,-,-,-,-
67,0.00012243278231307062,0.9640457014265125,0.008765220642089844,-,-,-,-
68,0.00014319072347917567,0.9565631905056545,0.00886082649230957,-,-,-,-
69,0.00016979787465409342,0.9478123365077686,0.008692264556884766,-,-,-,-
70,0.00015902169819925817,0.9560013091256209,0.008514404296875,-,-,-,-
71,0.00012606233762345076,0.9635601925002518,0.008647441864013672,-,-,-,-
72,0.00012565525402447175,0.9625692055088412,0.00847935676574707,-,-,-,-
73,8.950868365597528e-05,0.9700881058687346,0.008441448211669922,-,-,-,-
74,0.00011078072319622396,0.9640011226995077,0.008477449417114258,-,-,-,-
75,0.00015636078541174885,0.9525330286468253,0.008490562438964844,-,-,-,-
76,0.00026217706818890417,0.9368864184552421,0.008594989776611328,-,-,-,-
77,0.00021927666003629753,0.9430299444633401,0.008427619934082031,-,-,-,-
78,0.00010801169381095646,0.9717076434078358,0.008466482162475586,-,-,-,-
79,0.0001065885313689423,0.9677392554939253,0.008471012115478516,-,-,-,-
80,0.00012292921799842414,0.9581528762056563,0.008676767349243164,-,-,-,-
81,0.00010668448306348138,0.9662190372690999,0.008485078811645508,-,-,-,-
82,0.0002281476485776705,0.9684254662187552,0.008479118347167969,-,-,-,-
83,0.00020636684029584724,0.9700060218754338,0.008416891098022461,-,-,-,-
84,6.368260474707612e-05,0.9770868767258521,0.008706092834472656,-,-,-,-
85,0.00010133611737314199,0.9717477040559015,0.008855819702148438,-,-,-,-
86,0.000101736613917568,0.9668208720910917,0.00894618034362793,-,-,-,-
87,0.00021136447608680484,0.9516242509659987,0.008809328079223633,-,-,-,-
88,0.00021255369664004397,0.951188908051819,0.009587764739990234,-,-,-,-
89,0.0004235077974607726,0.8804075954989614,0.00928497314453125,-,-,-,-
90,0.0010208974672957967,0.8214619147917412,0.009738683700561523,-,-,-,-
91,0.00121772608379178,0.8376800707014757,0.009441375732421875,-,-,-,-
92,0.0015526176853562703,0.8456444178796031,0.009027957916259766,-,-,-,-
93,0.0016546036505968682,0.8394336366172013,0.008927583694458008,-,-,-,-
94,0.0015674581263318678,0.8288637415162302,0.008960485458374023,-,-,-,-
95,0.001036610523598904,0.85937589314414,0.009144067764282227,-,-,-,-
96,0.0008663625698478916,0.8659003263170031,0.009133100509643555,-,-,-,-
97,0.0005946273375313048,0.8784501043987913,0.008873701095581055,-,-,-,-
98,0.0006993723447468281,0.8394935727965568,0.015351295471191406,-,-,-,-
99,0.0009028102749127928,0.8210709037464543,0.009629964828491211,-,-,-,-
100,0.0007145656713932114,0.8824213252138671,0.008634328842163086,-,-,-,-
101,0.0009071866509689837,0.8792206855399252,0.009185552597045898,-,-,-,-
102,0.0007188130558068999,0.8840910745388619,0.009073257446289062,-,-,-,-
103,0.001046644243941279,0.8769919959803899,0.009004831314086914,-,-,-,-
104,0.0006023453522828947,0.8949792580906164,0.009011030197143555,-,-,-,-
105,0.0004338183891976877,0.9272701918220432,0.009520769119262695,-,-,-,-
106,0.00038439029057732053,0.9106272272502619,0.018094301223754883,-,-,-,-
107,0.000535058535553767,0.8932254228385856,0.01028132438659668,-,-,-,-
108,0.0005497091303394986,0.8941396918253607,0.008924245834350586,-,-,-,-
109,0.000442843706771336,0.8953093031258561,0.009064197540283203,-,-,-,-
110,0.0003841773919116489,0.9071373004327202,0.022438764572143555,-,-,-,-
111,0.0004003338488036791,0.9172227797977177,0.019739627838134766,-,-,-,-
112,0.0004677452748491809,0.9184290938532466,0.009842872619628906,-,-,-,-
113,0.0004417658713582716,0.9130617292240425,0.00885319709777832,-,-,-,-
114,0.0003955867581280353,0.924125847959023,0.008835554122924805,-,-,-,-
115,0.00035036079327568795,0.9314216108316022,0.008661270141601562,-,-,-,-
116,0.0002912344549050538,0.9479042448543386,0.020082712173461914,-,-,-,-
117,0.00032898726769421617,0.9240562941649492,0.00914454460144043,-,-,-,-
118,0.00044362694333183113,0.918287701829455,0.017272472381591797,-,-,-,-
119,0.00043615714084389135,0.9158492872260741,0.010568380355834961,-,-,-,-
120,0.0003242258345687162,0.9289729290513922,0.010430574417114258,-,-,-,-
121,0.00027614255813525253,0.9352759025203852,0.00924825668334961,-,-,-,-
122,0.0003840979559930994,0.926015378943189,0.008760213851928711,-,-,-,-
123,0.0004130449987876647,0.9285788655242809,0.009331464767456055,-,-,-,-
124,0.00042605402389430053,0.9162881079157372,0.008837699890136719,-,-,-,-
125,0.0003597314184039349,0.9233460793874211,0.01472020149230957,-,-,-,-
126,0.00028315235426293805,0.9369890564988069,0.009076356887817383,-,-,-,-
127,0.0001800190603750776,0.9520317036252043,0.009086847305297852,-,-,-,-
128,0.0003617083688073787,0.9263745732653279,0.009171247482299805,-,-,-,-
129,0.00038454584328369187,0.9216224322741402,0.009537935256958008,-,-,-,-
130,0.00046491220909299536,0.9264616605590201,0.009192705154418945,-,-,-,-
131,0.0004248338275554911,0.928520185402469,0.00883030891418457,-,-,-,-
132,0.00033801922345609884,0.9341730306616032,0.009752035140991211,-,-,-,-
133,0.00017522892758897155,0.9499685326077053,0.010077953338623047,-,-,-,-
134,0.00019897876384662564,0.949318954216577,0.008844137191772461,-,-,-,-
135,0.0002156515443142693,0.9393725749200857,0.015156984329223633,-,-,-,-
136,0.00018708620560960968,0.9473400411933699,0.04303431510925293,-,-,-,-
137,0.00015784129626330806,0.9546844886092227,0.044713735580444336,-,-,-,-
138,9.448192794120945e-05,0.9678512872441819,0.041184425354003906,-,-,-,-
139,0.00019976866736066422,0.94347823073846,0.04009532928466797,-,-,-,-
140,0.000187460182637051,0.9453754269700875,0.039994001388549805,-,-,-,-
141,0.00022280361481548936,0.9498684149264179,0.01291966438293457,-,-,-,-
142,0.00020907861307790468,0.9500754634743325,0.011221170425415039,-,-,-,-
143,0.0001447484359493317,0.9606558032840758,0.012001991271972656,-,-,-,-
144,9.668392621183457e-05,0.9642425172212647,0.011066198348999023,-,-,-,-
145,0.00010954510764380707,0.9613490689627167,0.008579254150390625,-,-,-,-
146,0.00012446377533195094,0.9530844664409164,0.008623838424682617,-,-,-,-
147,0.00011270248789805547,0.961756044336438,0.011212587356567383,-,-,-,-
148,9.103000454334716e-05,0.9683594135077376,0.01110386848449707,-,-,-,-
149,5.7891875876022974e-05,0.9752630515595532,0.01214289665222168,-,-,-,-
150,0.00011916948609926003,0.9584156088865767,0.010234355926513672,-,-,-,-
151,9.859468856238761e-05,0.9637963844891231,0.010659217834472656,-,-,-,-
152,0.00010074042029416506,0.9659531998552086,0.00835108757019043,-,-,-,-
153,0.00010882802278948042,0.9640399853702496,0.010796308517456055,-,-,-,-
154,7.540749437570593e-05,0.9727447779468991,0.011171817779541016,-,-,-,-
155,5.881746353069505e-05,0.9758798299938326,0.012103080749511719,-,-,-,-
156,6.321263898296051e-05,0.9735777086801874,0.010833263397216797,-,-,-,-
157,8.554706010103556e-05,0.9632043768825136,0.011688709259033203,-,-,-,-
158,6.903867442503693e-05,0.9702843574326442,0.009529590606689453,-,-,-,-
159,6.12919584124652e-05,0.9750525861385545,0.008410215377807617,-,-,-,-
160,3.553760107709332e-05,0.9840938612694382,0.010911941528320312,-,-,-,-
