Image Pair,SSIM,MSE,Mean SSIM,Mean MSE,Mean Time,Mean NegJ
68,0.9837999496994263,4.0984839714128864e-05,-,-,-,-
69,0.9850807528746497,3.84495614093066e-05,-,-,-,-
70,0.9867804808039047,3.063347144615841e-05,-,-,-,-
71,0.987006293227393,2.8446543582179667e-05,-,-,-,-
72,0.9881437178391949,2.2692473278919526e-05,-,-,-,-
73,0.9869829737081908,2.5755832527355028e-05,-,-,-,-
74,0.9861986169392766,3.2038350285804696e-05,-,-,-,-
75,0.9841214969389328,6.428952184500138e-05,-,-,-,-
76,0.9841699960375295,4.58406225983638e-05,-,-,-,-
77,0.9888298714918738,2.8128351657295317e-05,-,-,-,-
78,0.9884241207128536,2.5908701368265142e-05,-,-,-,-
79,0.9860884352468141,3.10820656057731e-05,-,-,-,-
80,0.9877658213899816,2.5601620453581224e-05,-,-,-,-
81,0.9879050932525214,5.3831924268292103e-05,-,-,-,-
82,0.9879532071593683,5.138577917002705e-05,-,-,-,-
83,0.9900693555618973,1.7650366042531466e-05,-,-,-,-
84,0.9891844274670043,2.4154006356881858e-05,-,-,-,-
85,0.9875961455868677,2.6205525711826387e-05,-,-,-,-
86,0.9862375878579227,4.368446469564874e-05,-,-,-,-
87,0.9862163244028808,4.349154681597942e-05,-,-,-,-
88,0.979071936610931,6.461394003771947e-05,-,-,-,-
89,0.9717062954036554,0.00013935226675497944,-,-,-,-
90,0.9718020722275965,0.0001757772942120019,-,-,-,-
91,0.9729741839134959,0.00020413067523835458,-,-,-,-
92,0.9740190521863343,0.00021964747097169738,-,-,-,-
93,0.9726684224988612,0.00021725077881149486,-,-,-,-
94,0.9763056506488645,0.00013874738544205725,-,-,-,-
95,0.9769681511936176,0.00011159228971570582,-,-,-,-
96,0.978298628644833,8.620837334010904e-05,-,-,-,-
97,0.9737214121059632,0.00010112492590615152,-,-,-,-
98,0.9720931837271379,0.00011534355839619324,-,-,-,-
99,0.9712709528540138,0.00011493293480976466,-,-,-,-
100,0.9696104501822357,0.000141898291502439,-,-,-,-
101,0.9698622183368862,0.00012380079330545838,-,-,-,-
102,0.9697497678762108,0.00014025958912511891,-,-,-,-
103,0.9723338138237554,0.00010722588101524165,-,-,-,-
104,0.9773358786042273,7.987164044450648e-05,-,-,-,-
105,0.9748000836565665,7.591439113323769e-05,-,-,-,-
106,0.9728454500199082,9.76648651108881e-05,-,-,-,-
107,0.9728214420949854,9.976790960795483e-05,-,-,-,-
108,0.9735880471102321,7.799948636640448e-05,-,-,-,-
109,0.9759575911491762,6.823627186532314e-05,-,-,-,-
110,0.978126295069932,7.080122064455521e-05,-,-,-,-
111,0.9768039720963345,8.577430613969993e-05,-,-,-,-
112,0.9757114057369911,8.209947236906831e-05,-,-,-,-
113,0.9776795176495903,6.731527426378652e-05,-,-,-,-
114,0.9786659185429827,6.363824156742325e-05,-,-,-,-
115,0.9828222062404369,4.71083831849114e-05,-,-,-,-
116,0.9790672127557465,5.939271293566717e-05,-,-,-,-
117,0.9770668311330407,8.526222165376638e-05,-,-,-,-
118,0.9764523343935889,8.604243725900208e-05,-,-,-,-
119,0.9791044668619655,6.169624567109546e-05,-,-,-,-
120,0.9807109066291941,5.5174535112733906e-05,-,-,-,-
121,0.9774880687098788,7.327312869065677e-05,-,-,-,-
122,0.9777853193350519,7.776517670041871e-05,-,-,-,-
123,0.974357019656501,8.801276086641189e-05,-,-,-,-
124,0.9760927811774213,7.52422310586029e-05,-,-,-,-
125,0.9789457275263465,6.078489345071025e-05,-,-,-,-
126,0.9834176016114996,3.7831859248940206e-05,-,-,-,-
127,0.9773096066511854,7.011270052076402e-05,-,-,-,-
128,0.9763670152304895,7.694564384588933e-05,-,-,-,-
129,0.9775054632672581,9.582250041679713e-05,-,-,-,-
130,0.9778519560347153,8.357614519383105e-05,-,-,-,-
131,0.9783775647859211,6.755922811345699e-05,-,-,-,-
132,0.9856918233926549,3.717252106571311e-05,-,-,-,-
133,0.9851902664056212,3.7931492880482216e-05,-,-,-,-
134,0.9832293361928486,4.523366532837323e-05,-,-,-,-
135,0.984647535479214,4.194967148105777e-05,-,-,-,-
136,0.9856959761727764,3.6460191281611725e-05,-,-,-,-
137,0.9888704860771912,2.13939432034892e-05,-,-,-,-
138,0.9844076607705183,4.094943071815506e-05,-,-,-,-
139,0.9845579489351438,3.925126817212935e-05,-,-,-,-
140,0.9847590648544626,5.13431688598633e-05,-,-,-,-
141,0.9851936271372441,4.5661991672551126e-05,-,-,-,-
142,0.9873715867319086,2.9831642969993453e-05,-,-,-,-
143,0.9887951920174641,2.2194916928024246e-05,-,-,-,-
144,0.9886141305048219,2.312421776242275e-05,-,-,-,-
145,0.9866688764917914,2.8137142922579267e-05,-,-,-,-
146,0.9878139259796761,2.675436397904665e-05,-,-,-,-
147,0.9891311761080158,2.2395648992490538e-05,-,-,-,-
148,0.9912227779219469,1.4335725748751439e-05,-,-,-,-
149,0.9880487423527579,2.6288797924222053e-05,-,-,-,-
150,0.9890029972804433,2.2463292182820515e-05,-,-,-,-
151,0.9890639297242064,2.3133008854028103e-05,-,-,-,-
152,0.9886743113027986,2.3999672782091036e-05,-,-,-,-
153,0.9904593610976564,1.7534981994776993e-05,-,-,-,-
154,0.991204078094997,1.468334372869544e-05,-,-,-,-
155,0.9912952193001356,1.446429686193651e-05,-,-,-,-
