Model,Mean Time on CPU,Std Time on CPU
VoxelMorph,0.057685453976903646,0.007558992468028257
Fourier-Net,0.029602275363036563,0.003544619272657418
Fourier-Net+,0.005897559225559235,0.0026667504806906065
4xFourier-Net+,0.027502422886235372,0.003466259996679169
