Model,Mean Time on CPU,Std Time on CPU
VoxelMorph,0.12640944016831263,0.08448320996902864
Fourier-Net,0.10061771954808917,0.06577212026625011
Fourier-Net+,0.02940214957509722,0.03784966934376622
4xFourier-Net+,0.11313216494662422,0.10369459877600296
