Model,Mean Time on CPU,Std Time on CPU
VoxelMorph,0.18445706580366408,0.056551225451956164
Fourier-Net,0.19180928277117865,0.06930750939777278
Fourier-Net+,0.08931072801351547,0.06980272804151035
4xFourier-Net+,0.3261585012078285,0.1849357376327533
