Image Pair,Dice full,Dice no background,SSIM,MSE,Mean Dice full, Mean Dice no background,Mean SSIM,Mean MSE
0,0.24082996653511937,0.0,0.8901614161938615,0.0024297072472716044,-,-,-,-
1,0.24044310927525347,0.0,0.8368469100349154,0.002128851058515418,-,-,-,-
2,0.6724142282579173,0.4751592826706107,0.8085915483937165,0.002118200213963826,-,-,-,-
3,0.6503515522449062,0.45064352941932473,0.839516139426078,0.001752198104070737,-,-,-,-
4,0.663754574766047,0.49896913842992885,0.893886847410523,0.0011957799535852155,-,-,-,-
5,0.6667026875191,0.5162688555736926,0.8344978246730701,0.001549113470960002,-,-,-,-
6,0.6741661769024473,0.5202848879344505,0.9309923586283352,0.0008442341147770751,-,-,-,-
7,0.700261477017683,0.5543532902212451,0.8706188090772694,0.0010967670938093785,-,-,-,-
8,0.7164808519997211,0.5822941904296032,0.9111363595239325,0.0009487980769191643,-,-,-,-
9,0.712948786180909,0.5770011318507312,0.91162685168291,0.0010474860973055365,-,-,-,-
10,0.7182916369611303,0.6065036220214728,0.8952551877120093,0.000933877820326481,-,-,-,-
11,0.7027663516208194,0.5697746268938322,0.951785319600538,0.0006559663333649942,-,-,-,-
12,0.6869373022358773,0.5349349398377169,0.8830197855346558,0.0010999363400653684,-,-,-,-
13,0.6855852901202244,0.5439496056797186,0.9071475982204023,0.0007395599779079225,-,-,-,-
14,0.6499561398978474,0.5026471504204297,0.91517689676971,0.0006466303606136443,-,-,-,-
15,0.6453288228409702,0.5021780822466277,0.9570455312746591,0.0003582780927625586,-,-,-,-
16,0.6331481795669401,0.525512967464826,0.90897224647041,0.0005642156023081588,-,-,-,-
17,0.44458396957466484,0.08317815021725636,0.8170928153365176,0.0036196678653788194,-,-,-,-
18,0.5164253698593063,0.21783181357649442,0.8660981313573766,0.0029207491342509145,-,-,-,-
19,0.6881574344763075,0.5802863203486257,0.90386463954161,0.0017444248632604517,-,-,-,-
20,0.6989790399948252,0.5776365933608257,0.8739379582256199,0.0015201804201095351,-,-,-,-
21,0.7226708989314095,0.6307996394418578,0.8378698648134698,0.0013972922100365993,-,-,-,-
22,0.729963308756824,0.6531268101148028,0.9233219617278572,0.000952899119473468,-,-,-,-
23,0.7369784400815973,0.660904260587392,0.886610927631337,0.0011404308070696392,-,-,-,-
24,0.7532700358269058,0.680355939510753,0.8685402539936126,0.0011792488138406235,-,-,-,-
25,0.7361433852130074,0.6511238994638728,0.9269499179109754,0.0009414752221987572,-,-,-,-
26,0.7359668822220133,0.6555855824060582,0.8896206941577205,0.0012154936458103228,-,-,-,-
27,0.6878696528423326,0.5778934571311748,0.8872280823411272,0.0013439373751530414,-,-,-,-
28,0.6599120623242059,0.5430690783951654,0.8794789484671017,0.0018246155875607472,-,-,-,-
29,0.5885430067306209,0.4082103223904483,0.886643858080663,0.0012236110742915708,-,-,-,-
30,0.47951670090919374,0.3300623946505874,0.8893713059545275,0.0009622853331246044,-,-,-,-
31,0.46690978493546065,0.3388439046333783,0.8896328308507753,0.0009334115250440401,-,-,-,-
32,0.42352387519193213,0.2393344244408074,0.8889081566766165,0.0009231072242695888,-,-,-,-
33,1.0,1.0,0.8864418484771447,0.0009625078493405618,-,-,-,-
34,1.0,1.0,0.9170174631696912,0.0013694519024617245,-,-,-,-
35,1.0,1.0,0.913540263748723,0.0009957399087589228,-,-,-,-
36,1.0,1.0,0.9002874867112143,0.0012143459046413839,-,-,-,-
37,1.0,1.0,0.894338120032257,0.0012481857621843328,-,-,-,-
38,1.0,1.0,0.9222594681880664,0.0005332512787767564,-,-,-,-
39,0.6766232350978172,0.5204007410965483,0.8409402785887391,0.0028837053214771954,-,-,-,-
40,0.6860333350539218,0.575041253122082,0.8446418798084135,0.0027383107000201867,-,-,-,-
41,0.6799872133465727,0.5779878194983935,0.8597546069714869,0.003511297277403208,-,-,-,-
42,0.6729175324101155,0.5642225031605563,0.8366320858295282,0.0035471045778444517,-,-,-,-
43,0.6527030266560422,0.5461608441531852,0.8725093892904359,0.0038153140342532454,-,-,-,-
44,0.6662431626770905,0.5623208858011289,0.85172490808485,0.003699787597315806,-,-,-,-
45,0.6493830482500189,0.5447146470859118,0.8763714859958861,0.003489389100041551,-,-,-,-
46,0.5913837462672729,0.504755905511811,0.895928952424226,0.0030340447810173507,-,-,-,-
47,0.5633155509422544,0.5022633020122027,0.8912219822580244,0.0023182457136587124,-,-,-,-
48,0.4846956052528276,0.39521263050674815,0.8950584303336931,0.001767574136954377,-,-,-,-
49,0.4176163053493787,0.3383411580594679,0.9229847330478045,0.0013354898030322813,-,-,-,-
