Model,Mean Time on CPU,Std Time on CPU
VoxelMorph,0.18580279712166106,0.042202712763952044
Fourier-Net,0.18899705686739512,0.07224489743769921
Fourier-Net+,0.09351868608168193,0.0673874215387075
4xFourier-Net+,0.34623226523399353,0.20056532133899868
