Image Pair,Dice full,Dice no background,SSIM,MSE,Mean Dice full, Mean Dice no background,Mean SSIM,Mean MSE,Mean Time,Mean NegJ
0,0.24074004613566888,0.0,0.004274154658627913,0.8313054605220827,-,-,-,-,-,-
1,0.24110662683883774,0.0,0.002974098406315829,0.8285246415624291,-,-,-,-,-,-
2,0.8173972192546332,0.6975414472370035,0.0022592678309972794,0.8590082458173868,-,-,-,-,-,-
3,0.814399490058755,0.698468641321101,0.002384651298707119,0.8568897463505412,-,-,-,-,-,-
4,0.8159458214840378,0.7294348900731655,0.001999466567653993,0.8706165794694353,-,-,-,-,-,-
5,0.8609993246538261,0.8048275061420553,0.0015162184675001915,0.8810861067478057,-,-,-,-,-,-
6,0.8341697024748645,0.7610918176418113,0.0014884339837163184,0.8774603016188335,-,-,-,-,-,-
7,0.8339115182814186,0.765443602176622,0.0016057829138440211,0.8880394998088695,-,-,-,-,-,-
8,0.8796893364496943,0.8277475117143915,0.0010723205780917948,0.9049867384662076,-,-,-,-,-,-
9,0.8894776445415422,0.8352378777727558,0.0012127081842378468,0.9007951026566571,-,-,-,-,-,-
10,0.903895549172776,0.8499658236500343,0.0010006431284167539,0.9115823092176069,-,-,-,-,-,-
11,0.8895330581701345,0.8360670047994125,0.0007421197516787151,0.9217122350614263,-,-,-,-,-,-
12,0.8745669159958585,0.7946612381286176,0.0007806059597639344,0.9233005959466188,-,-,-,-,-,-
13,0.8850840194622087,0.8077963558196364,0.0006868830423570984,0.9263044274609048,-,-,-,-,-,-
14,0.84123152126938,0.7536256523217479,0.0007175962575838984,0.9267707848189531,-,-,-,-,-,-
15,0.788381337475828,0.6695024472441282,0.0006570317911302949,0.9341356969816677,-,-,-,-,-,-
16,0.7883680629409376,0.7025315617258601,0.0006025217075451545,0.9400805601854232,-,-,-,-,-,-
17,0.587227050222526,0.2767689417658109,0.0025701932314998116,0.846733816123607,-,-,-,-,-,-
18,0.6325056143356022,0.37356034051076614,0.0025674167251828386,0.862950973746384,-,-,-,-,-,-
19,0.8313155617832132,0.780021658115016,0.0021913213070003674,0.8662352882045119,-,-,-,-,-,-
20,0.8537508996252828,0.8030101836621064,0.0019261226023704033,0.8598701993887823,-,-,-,-,-,-
21,0.8751307079212896,0.8413393316790416,0.001364906814466289,0.8780712589650453,-,-,-,-,-,-
22,0.8663519628732099,0.8315189761499524,0.0010794326652597908,0.8842074551053933,-,-,-,-,-,-
23,0.8685950300801121,0.8172277085530071,0.0011139432997731803,0.8825795738989354,-,-,-,-,-,-
24,0.9073230811497861,0.8680570750642944,0.001152254546456653,0.8791239192752156,-,-,-,-,-,-
25,0.8995588992084265,0.8582659201894145,0.0011881648199666773,0.8778238963277203,-,-,-,-,-,-
26,0.8745388280833518,0.816143501963333,0.0014087496913704574,0.8650646068502078,-,-,-,-,-,-
27,0.8547221920964467,0.8075402906546114,0.0017113728373650357,0.8513324648548916,-,-,-,-,-,-
28,0.8231718333991322,0.7276373504021212,0.0019723530857686782,0.8465210716800435,-,-,-,-,-,-
29,0.8503429650979727,0.7616431322207959,0.0016109492285996511,0.839883424705523,-,-,-,-,-,-
30,0.7206416744230987,0.6713264855502601,0.0016303737291718356,0.8330496245608624,-,-,-,-,-,-
31,0.6555861707155135,0.597564645692988,0.0016414031212138606,0.8341096332492828,-,-,-,-,-,-
32,0.60199755564109,0.5260458839406208,0.0016987482065439175,0.8260339297960224,-,-,-,-,-,-
33,0.8443715879167843,0.8067850897427247,0.0014177456136857734,0.8658520587943705,-,-,-,-,-,-
34,0.8208275944207631,0.7946589928057555,0.0015451758017308108,0.8800974479702036,-,-,-,-,-,-
35,0.8516109182120941,0.830938743329822,0.0010575684865392653,0.8935824188679778,-,-,-,-,-,-
36,0.8200047811345774,0.7721923964230193,0.0009704784142542077,0.9089875217471804,-,-,-,-,-,-
37,0.8108765919521486,0.7455461765858176,0.0009012458661152247,0.915098614652153,-,-,-,-,-,-
38,0.7464440346275738,0.6304556354916067,0.0007564625875764228,0.9154977524955014,-,-,-,-,-,-
39,0.8256053644391941,0.7315066177065921,0.0032494014062065344,0.8607565031800425,-,-,-,-,-,-
40,0.8457754179249333,0.7812698161065315,0.0032312255138528044,0.8649732481211945,-,-,-,-,-,-
41,0.8559942241377533,0.8043578544437355,0.0032839179184788467,0.8770278729980383,-,-,-,-,-,-
42,0.8629146422899837,0.8142077144571138,0.003113442849010806,0.874828725989694,-,-,-,-,-,-
43,0.8701054006474055,0.8055726682942783,0.0030774606337290495,0.8839854772842779,-,-,-,-,-,-
44,0.8759534761364597,0.8063047478836952,0.002961482804505933,0.8866841569897461,-,-,-,-,-,-
45,0.8383795715970104,0.7586693354311681,0.002157037507506513,0.9018312589398763,-,-,-,-,-,-
46,0.8010146151015967,0.7182802777385935,0.0020545563421248557,0.9038098144621012,-,-,-,-,-,-
47,0.785809207269502,0.7232232651692927,0.0016456741324236467,0.9097314272021132,-,-,-,-,-,-
48,0.4848825687686397,0.4616536019579328,0.002233367434654509,0.9021042055888445,-,-,-,-,-,-
