Image Pair,Dice full,Dice no background,SSIM,MSE,Mean Dice full, Mean Dice no background,Mean SSIM,Mean MSE,Mean Time,Mean NegJ
0,0.2407667857444235,0.0,0.0030886566656403674,0.6648921700482673,-,-,-,-,-,-
1,0.24052349534973205,0.0,0.0025544130433795714,0.6720655640586028,-,-,-,-,-,-
2,0.7121576763004867,0.5352596326548893,0.0011068819506211034,0.8652843643479625,-,-,-,-,-,-
3,0.6908800136514792,0.5084085365746122,0.0015074299823979109,0.8208003919996898,-,-,-,-,-,-
4,0.6889600843909571,0.5298507995635109,0.0024127745107814214,0.6769800829616941,-,-,-,-,-,-
5,0.6876918288455717,0.5433385475938668,0.000897983454643804,0.8702748980299547,-,-,-,-,-,-
6,0.687749309173489,0.5397488472681274,0.0020451518413295935,0.6942999541755955,-,-,-,-,-,-
7,0.7214841015058302,0.5932294900013169,0.001639363560381335,0.7339267804123473,-,-,-,-,-,-
8,0.7381394118380848,0.6208981794884878,0.0007126013311665596,0.8779170194581539,-,-,-,-,-,-
9,0.7259518187093826,0.6005971487998757,0.0016782850604858777,0.7476621865569592,-,-,-,-,-,-
10,0.7297587660381035,0.6225823662798453,0.0006072948556611588,0.8983916284692961,-,-,-,-,-,-
11,0.7291545627028619,0.6153119015557802,0.0016612194013620701,0.7382605564869131,-,-,-,-,-,-
12,0.7381818476954196,0.6171536351829112,0.0005770000854684623,0.9083741107816098,-,-,-,-,-,-
13,0.7235956388647264,0.6069062970062231,0.0006293960517940816,0.8986474199595196,-,-,-,-,-,-
14,0.6843583138719741,0.5412664819401475,0.0007221707966608061,0.8803488336096207,-,-,-,-,-,-
15,0.6633364748171237,0.5119766365949572,0.001407265847934684,0.7672887824451532,-,-,-,-,-,-
16,0.6313814947664635,0.5000230266187713,0.00046609952531645525,0.9186848157454881,-,-,-,-,-,-
17,0.4864730794802953,0.14661879114302812,0.002908342349362054,0.7382921068176024,-,-,-,-,-,-
18,0.5570530978493123,0.27632205812291566,0.002759079669531967,0.7249319421422253,-,-,-,-,-,-
19,0.7266305399804422,0.6333959925369206,0.0014575978598797181,0.8399771042220799,-,-,-,-,-,-
20,0.7434358624725255,0.6435282078619582,0.0019167383754501585,0.7131233180480723,-,-,-,-,-,-
21,0.7632309737184513,0.6895577451734747,0.0010787204065195164,0.8480870339353923,-,-,-,-,-,-
22,0.766472589180609,0.7011752497760028,0.0010425814654420867,0.8460361430964942,-,-,-,-,-,-
23,0.7752785444689145,0.7103924372682375,0.0017386140970314914,0.7179029119960315,-,-,-,-,-,-
24,0.7829280909609515,0.712579735944222,0.0009594302302884169,0.8520407224200411,-,-,-,-,-,-
25,0.7839075581563488,0.7100344316112541,0.001424519109071365,0.7644312379070386,-,-,-,-,-,-
26,0.8003459029760875,0.7321694499339696,0.0016345699652390373,0.7462330137107405,-,-,-,-,-,-
27,0.7432745955567686,0.634858350002041,0.0010800272573754637,0.8252344389647867,-,-,-,-,-,-
28,0.7263152134636284,0.6205853682663792,0.0015009703180358391,0.7706511467087171,-,-,-,-,-,-
29,0.6142109616160958,0.43727114195502925,0.0016307404270941605,0.7253354376537966,-,-,-,-,-,-
30,0.5401981975670589,0.42236655901883235,0.0012924314848723562,0.7796765021605,-,-,-,-,-,-
31,0.49837418976531483,0.3925880278467574,0.0012641317014668403,0.7500680336394528,-,-,-,-,-,-
32,0.47464824565954317,0.38479064773947275,0.0011930573018726046,0.7551834070286345,-,-,-,-,-,-
33,0.9182477242505085,0.8851172517578683,0.0017556127596999316,0.7201146368437967,-,-,-,-,-,-
34,0.8984024362411345,0.8774579284332922,0.0010079272235415358,0.8681814184669848,-,-,-,-,-,-
35,0.9256197689788161,0.905243612707882,0.0007862388540504561,0.8794595562040806,-,-,-,-,-,-
36,0.9021722543553391,0.8707738320699308,0.0007789854784204435,0.8821846920322117,-,-,-,-,-,-
37,0.9070119071858181,0.8732591268286312,0.0006952266898674395,0.8788203433063679,-,-,-,-,-,-
38,0.8246688731735803,0.7383337825090959,0.0014068650427786263,0.799674082451033,-,-,-,-,-,-
39,0.7760644047918888,0.6573048567594992,0.00124879952344329,0.8428439721091784,-,-,-,-,-,-
40,0.7610555635043601,0.6657847155343356,0.0014984821300179413,0.8291883848948327,-,-,-,-,-,-
41,0.7818382775644025,0.7178273506232131,0.0019806549414578167,0.7035833963205655,-,-,-,-,-,-
42,0.7806045171046624,0.721369287228141,0.0019670559972899105,0.7330807921310124,-,-,-,-,-,-
43,0.7456838887579746,0.6682812248884273,0.0027603553247610574,0.6645332064035285,-,-,-,-,-,-
44,0.7532499760735698,0.6701141470508362,0.0022945309844770354,0.6910237686392409,-,-,-,-,-,-
45,0.7585345057921359,0.6749502788706818,0.002259568013848826,0.6979163945107457,-,-,-,-,-,-
46,0.7592841667961698,0.6691246948258626,0.0018717537466447275,0.7109435500640794,-,-,-,-,-,-
47,0.7009899489033794,0.6132122897348588,0.0012532083397089634,0.834327119183649,-,-,-,-,-,-
48,0.5490573213688243,0.48196475708068776,0.0018009808070397085,0.6784749364621091,-,-,-,-,-,-
49,0.41199280019254864,0.32693296880614997,0.0014453694789646713,0.7138434411291434,-,-,-,-,-,-
50,0.2579022652373759,0.01858736059479554,0.0014439043987909013,0.7185181906174319,-,-,-,-,-,-
51,0.6499098878022125,0.4924485830861094,0.0014729346682919118,0.7698700807664677,-,-,-,-,-,-
52,0.6927121977517006,0.5951194709950897,0.001110975216033337,0.8472792635950614,-,-,-,-,-,-
53,0.6881513819500005,0.6199654464960587,0.0010955938051668082,0.8459802644985817,-,-,-,-,-,-
54,0.77916213137241,0.7359306512442394,0.0013234267478294424,0.8563278412404604,-,-,-,-,-,-
55,0.7789001534892179,0.7342335335323942,0.0014386730422892785,0.7614600780226024,-,-,-,-,-,-
56,0.7808027052527734,0.7281303794850481,0.0024637007996765052,0.6780296553109321,-,-,-,-,-,-
57,0.7669421108770109,0.6962776469598856,0.0014524577248602706,0.8471753779207506,-,-,-,-,-,-
58,0.7689116946553212,0.725010632688788,0.0013155613253201996,0.7643176402763696,-,-,-,-,-,-
59,0.7719423978719591,0.7059484777517564,0.001034424214944075,0.8661174698844596,-,-,-,-,-,-
60,0.7831235145769496,0.6971213713229166,0.0011876802047514257,0.8535008089760651,-,-,-,-,-,-
61,0.7466471304545932,0.7057255505497784,0.0018677950485313686,0.6831710577495823,-,-,-,-,-,-
62,0.7604830057132363,0.7328355480233203,0.0008021643612509193,0.8794285702896172,-,-,-,-,-,-
63,0.6064513466940649,0.5648887474899533,0.0009569544985653536,0.8651105191179917,-,-,-,-,-,-
64,0.5402874930332857,0.5617268004248113,0.0015177005646207858,0.7690622562344597,-,-,-,-,-,-
65,0.8310535506402794,0.6640625,0.0017654617790598497,0.7587444023557013,-,-,-,-,-,-
