Image Pair,Dice full,Dice no background,SSIM,MSE,Mean Dice full, Mean Dice no background,Mean SSIM,Mean MSE,Mean Time,Mean NegJ
0,0.24089554476786684,0.0,0.0037934814883527923,0.6148845718459642,-,-,-,-,-,-
1,0.2405940965641478,0.0,0.0032922232033945602,0.6226361964469734,-,-,-,-,-,-
2,0.7169672784003829,0.5398276255663664,0.001149813049503305,0.9055376334371898,-,-,-,-,-,-
3,0.7058041567137939,0.5321661054994389,0.0017480134663416305,0.8445414133054393,-,-,-,-,-,-
4,0.7012793946370464,0.5565171364298002,0.003116036946478564,0.621172951131447,-,-,-,-,-,-
5,0.6971699866903911,0.5619734140096169,0.0009666382135912492,0.9123094005323714,-,-,-,-,-,-
6,0.7287762031603546,0.6056302221493255,0.0026556283527647126,0.6433127466810152,-,-,-,-,-,-
7,0.7711375204928436,0.6658059870615907,0.0020088088340069403,0.6957521208347786,-,-,-,-,-,-
8,0.7797692438878967,0.6767496656689804,0.0006514104346669852,0.926573358589969,-,-,-,-,-,-
9,0.7740160699474217,0.6694507850868092,0.0020548875872914625,0.715717325548071,-,-,-,-,-,-
10,0.762048142294804,0.6730558191894556,0.0005746301745519532,0.9421210186455488,-,-,-,-,-,-
11,0.7773896743240225,0.6765890294192181,0.0020501327550411044,0.6932133136888838,-,-,-,-,-,-
12,0.7522634441796917,0.6304311484511353,0.0005140155169942839,0.9521536120661535,-,-,-,-,-,-
13,0.7090269184296007,0.5779306577097013,0.0005160850406943016,0.9507866331538896,-,-,-,-,-,-
14,0.6936146169561179,0.5633085757897285,0.0007201813929977953,0.9082949167497145,-,-,-,-,-,-
15,0.6826289579547472,0.5565227875572702,0.001866358986881145,0.7303647589381569,-,-,-,-,-,-
16,0.6573223358505779,0.5568915947911381,0.0003342433717266806,0.961637129327025,-,-,-,-,-,-
17,0.4822060376267181,0.13539192399049882,0.0028555191571731195,0.7156655768560298,-,-,-,-,-,-
18,0.60729500809475,0.33060109289617484,0.0030532043506794485,0.6737972624972648,-,-,-,-,-,-
19,0.7893960924387171,0.7093406982150438,0.0014718851207425054,0.8681777651113332,-,-,-,-,-,-
20,0.7353394949586235,0.6290858630099847,0.002624611710679119,0.6418801662597273,-,-,-,-,-,-
21,0.7436351486509762,0.660193350133941,0.001014595842013341,0.9114006440946921,-,-,-,-,-,-
22,0.7516733005951375,0.6826441153431109,0.0010597940294227715,0.8819643172510206,-,-,-,-,-,-
23,0.7923390198204222,0.7345297696296942,0.0021869806555541954,0.6663054992462384,-,-,-,-,-,-
24,0.7788814794763845,0.7142395289907457,0.0008444612409714359,0.8851678264584116,-,-,-,-,-,-
25,0.7808023429209454,0.7094303943645708,0.0017021869493946422,0.7326169141908658,-,-,-,-,-,-
26,0.8016699263517855,0.7412272962776066,0.001953235961647085,0.707043443774749,-,-,-,-,-,-
27,0.7316618163597264,0.6408948426780223,0.0012260310889086032,0.8599669432976704,-,-,-,-,-,-
28,0.7556397583526347,0.6567702295386042,0.001900375049242742,0.7597735326393851,-,-,-,-,-,-
29,0.6858036084846851,0.53438127090301,0.001961640986648881,0.6848839304668717,-,-,-,-,-,-
30,0.5146265521094545,0.4284820670728754,0.0014739467963460742,0.7857799507575952,-,-,-,-,-,-
31,0.5334329004692749,0.42313191526803196,0.0015780282839031492,0.710299877398066,-,-,-,-,-,-
32,0.4966908759992626,0.3977272727272727,0.0015353566011379965,0.7143099052022562,-,-,-,-,-,-
33,0.9708666035540201,0.9678317110154412,0.0024651091185685973,0.6835557048973361,-,-,-,-,-,-
34,0.9257548385807397,0.940080891515351,0.0009603749553679104,0.9299681706994993,-,-,-,-,-,-
35,0.9617864617643066,0.9681418970722757,0.0007293168893637812,0.9416675366954435,-,-,-,-,-,-
36,0.9614350903131749,0.9601688389809184,0.0005564796240594251,0.9454121538221648,-,-,-,-,-,-
37,0.9739967271186334,0.9765439140637052,0.00052154177243504,0.9368197077702859,-,-,-,-,-,-
38,0.924807658452023,0.9269015058864223,0.0017482288446578243,0.7601704578338867,-,-,-,-,-,-
39,0.7601863944158138,0.6222422089087765,0.0019019491837752253,0.8641943149750819,-,-,-,-,-,-
40,0.7989108958456104,0.7186509794900025,0.0017682746995274228,0.8477802240428366,-,-,-,-,-,-
41,0.8152860240486235,0.7442008223926719,0.002537799432576963,0.651755546594958,-,-,-,-,-,-
42,0.8022666382872446,0.7305043907566747,0.0024950058435281937,0.6877603106572712,-,-,-,-,-,-
43,0.7513726208385529,0.6536683625054547,0.003669613211367149,0.5989401652791448,-,-,-,-,-,-
44,0.7498505737086951,0.6448028780878909,0.003038333004252405,0.6333463186941165,-,-,-,-,-,-
45,0.7409272170506479,0.6251294568247171,0.0029779056365560543,0.64897798440767,-,-,-,-,-,-
46,0.6967242652363141,0.5834282523729759,0.002540932873389385,0.6650881935494375,-,-,-,-,-,-
47,0.569818835906243,0.5599489795918368,0.0013173389539020335,0.890137588522851,-,-,-,-,-,-
48,0.4327035826219112,0.36788461994639,0.002224246931872788,0.6362277585161021,-,-,-,-,-,-
49,0.391728491352892,0.2857324930963676,0.0016796412241292522,0.6770446381548091,-,-,-,-,-,-
50,0.24873677705478206,0.0,0.0016918658107362538,0.676010786412442,-,-,-,-,-,-
51,0.6790709079767299,0.5361069315543956,0.0017560738190525043,0.7388411780585673,-,-,-,-,-,-
52,0.7245547212226622,0.6396781760400427,0.0012458260405365646,0.8566268912656869,-,-,-,-,-,-
53,0.7459920231945585,0.6982987208119269,0.0011636320902818505,0.8589628718686273,-,-,-,-,-,-
54,0.8027266423182973,0.7577552413384109,0.002051720029776229,0.8783231656243182,-,-,-,-,-,-
55,0.7826270168939954,0.7305807039472916,0.0019680114767323393,0.7248626157857749,-,-,-,-,-,-
56,0.818609663887694,0.763941148640765,0.00356584997125215,0.6286379903486855,-,-,-,-,-,-
57,0.7992796835874435,0.7255082416720524,0.0018262595802761223,0.8636294080666261,-,-,-,-,-,-
58,0.8274753386660929,0.792333597006157,0.0014606500109524733,0.7369258053286335,-,-,-,-,-,-
59,0.771371820060109,0.6922393945085699,0.001216496525080637,0.8919970536340514,-,-,-,-,-,-
60,0.8158051011246126,0.7294510645421479,0.0014493472224674767,0.8749942968569496,-,-,-,-,-,-
61,0.7833698177945778,0.7311785215804885,0.0023870680571511232,0.6365493058521235,-,-,-,-,-,-
62,0.7571804544720954,0.7296881862099254,0.0008889749485003517,0.9152523467785524,-,-,-,-,-,-
63,0.6052164464535222,0.5533166248955722,0.0010234893796906498,0.8880754407781775,-,-,-,-,-,-
64,0.558622098076117,0.5639929149797571,0.0020447167370231914,0.7428107227020093,-,-,-,-,-,-
65,0.8292453570066161,0.6601489757914338,0.002067289642041376,0.7282028321610231,-,-,-,-,-,-
66,0.8972175567260083,0.8520474946464465,0.0032479513447545767,0.6826074995147837,-,-,-,-,-,-
67,0.8591074342844035,0.8214987933297793,0.003629429416655686,0.6395644483520012,-,-,-,-,-,-
68,0.7994604850064804,0.7385792599360439,0.0031907176914442764,0.6692030606335001,-,-,-,-,-,-
69,0.7969006384831208,0.7865419679689876,0.0027647240316792648,0.6598609357466961,-,-,-,-,-,-
70,0.8618870418238507,0.8784465113177985,0.0012997292014205783,0.809991396888973,-,-,-,-,-,-
71,0.767694865292486,0.7874751491053678,0.0012706956998620388,0.8168488505077112,-,-,-,-,-,-
72,1.0,1.0,0.0014746112623171442,0.7677281856279204,-,-,-,-,-,-
73,0.6823906339843273,0.546105103364909,0.002595206224929022,0.6580393246746007,-,-,-,-,-,-
74,0.7585994082945688,0.6719170784738484,0.0007647073951918567,0.9070895060731763,-,-,-,-,-,-
75,0.7907108134035391,0.7030487951079678,0.0008518405874870663,0.8786122617728975,-,-,-,-,-,-
76,0.7928516286405185,0.7159580285995206,0.001808982080077783,0.6682637846059439,-,-,-,-,-,-
77,0.7861549491440556,0.7073920823082085,0.0019706865355821473,0.6478955262577779,-,-,-,-,-,-
78,0.771944704491076,0.7046469223897169,0.0020405800979173844,0.6664511843673331,-,-,-,-,-,-
79,0.728038973942684,0.6704596402764595,0.001591854766863564,0.7291415687119225,-,-,-,-,-,-
80,0.7185967444047936,0.561136023916293,0.0018277227844755444,0.7389335349683398,-,-,-,-,-,-
81,0.4950669420573157,0.5,0.0013662824430249521,0.8834461692971519,-,-,-,-,-,-
82,0.53315222757283,0.20449438202247192,0.002850293317860179,0.6645674074029524,-,-,-,-,-,-
83,0.5838133374277095,0.2692103868574457,0.0009855830025622696,0.8858316088383056,-,-,-,-,-,-
84,0.6462669655784897,0.36042402826855124,0.0008381470956537828,0.8783001319663079,-,-,-,-,-,-
85,0.7078030625415483,0.5672204912694032,0.0022377765442945664,0.6953700624003639,-,-,-,-,-,-
86,0.7409535794816766,0.6211998195760036,0.0025782610167272586,0.6631904591848844,-,-,-,-,-,-
87,0.7937530686519201,0.6935811278924762,0.0014699167412642008,0.7710215557513722,-,-,-,-,-,-
88,0.8266446373235165,0.7563420312513276,0.0006460681064732685,0.924775326038356,-,-,-,-,-,-
89,0.8398931053700578,0.754486981822782,0.000526922855148448,0.9421934610187563,-,-,-,-,-,-
90,0.827071751017904,0.7426410803047787,0.0020218536688235205,0.7066103441469401,-,-,-,-,-,-
91,0.8153425948415047,0.7290801550115565,0.00044677881011829487,0.9547496816515922,-,-,-,-,-,-
92,0.7877502444126849,0.7394119839770985,0.001415286713072322,0.7713974673690712,-,-,-,-,-,-
93,0.743919475169723,0.6158230140414209,0.0005562399243442972,0.9512467111463547,-,-,-,-,-,-
94,0.7135797254047601,0.5797395512209704,0.0008388681286495556,0.8344911152343294,-,-,-,-,-,-
95,0.6386489859483664,0.48587843642611683,0.0013798914181217124,0.7500156902328575,-,-,-,-,-,-
96,0.24893300158006573,0.0,0.001529668164108355,0.7437505666991654,-,-,-,-,-,-
97,0.7720021803459518,0.714167952484623,0.0013029907961711119,0.7478483535740869,-,-,-,-,-,-
98,0.7904087228023305,0.7619161219743145,0.0010092318231684552,0.7669866806510287,-,-,-,-,-,-
99,0.7869001895273451,0.7465921454533733,0.0003045051324487774,0.9429140227439857,-,-,-,-,-,-
100,0.6585537852747524,0.5555731726652926,0.00043640436420476714,0.9212010923176073,-,-,-,-,-,-
101,0.6513609607251403,0.5565271201033147,0.0010676645815265438,0.7809677057678951,-,-,-,-,-,-
102,0.5354358996240799,0.3775,0.001114401935664552,0.7847883406077161,-,-,-,-,-,-
103,0.6058916828177581,0.3149546827794562,0.003383394380143054,0.6651573185470582,-,-,-,-,-,-
104,0.7867010795023677,0.696927245474461,0.0028405071045529548,0.7106476598199307,-,-,-,-,-,-
105,0.78428340815051,0.7082372924630671,0.0028679328230184187,0.6894404433045397,-,-,-,-,-,-
106,0.8010641102401745,0.7105732610283884,0.002683845053702032,0.6861189374349719,-,-,-,-,-,-
107,0.7405122787484893,0.6123082064837602,0.002536616609427208,0.6983410425237413,-,-,-,-,-,-
