Model,Mean Time on CPU,Std Time on CPU
VoxelMorph,0.11725831883294242,0.03897571627964525
Fourier-Net,0.10883763006755284,0.04339681622048537
Fourier-Net+,0.04382948045219694,0.04301444244018602
4xFourier-Net+,0.1538911046726363,0.1072738318416794
