Image Pair,Dice full,Dice no background,MSE,SSIM,Time,Mean Dice full, Mean Dice no background,Mean MSE,Mean SSIM,Mean Time,Mean NegJ
25,0.6099334130252911,0.4762121325675249,0.0007790881082067502,0.8234687349331321,0.002344369888305664,-,-,-,-,-,-
26,0.5580376549373777,0.3914449230705111,0.0009215630335971639,0.7962296049713193,0.002358675003051758,-,-,-,-,-,-
27,0.537413247275126,0.35901551269687804,0.0006003385360288627,0.8940607632829675,0.002359628677368164,-,-,-,-,-,-
28,0.4238730104129882,0.16575410871255788,0.0009863508552483116,0.8226130599728918,0.002371549606323242,-,-,-,-,-,-
29,0.3871259832720195,0.09350195095361577,0.0010637582064705676,0.7836067545993797,0.0023605823516845703,-,-,-,-,-,-
30,0.31021721558535137,0.04054339043213899,0.0007199546336760947,0.8485402277385173,0.0023572444915771484,-,-,-,-,-,-
31,0.3517445842457051,0.15156350091342619,0.000795176535908878,0.8028254344062913,0.002336263656616211,-,-,-,-,-,-
32,0.3151334108460814,0.059190031152647975,0.0008687135482813749,0.7960436784969925,0.002341747283935547,-,-,-,-,-,-
33,0.8658643205028502,0.8110051011312205,0.0012363496362406254,0.7717242044712161,0.0023343563079833984,-,-,-,-,-,-
34,0.8400896061091458,0.7815670676843194,0.0005423436657957555,0.9427259670729439,0.0023415088653564453,-,-,-,-,-,-
35,0.8928534563226013,0.8661597029277419,0.00036001801465835665,0.9523254059099016,0.002376079559326172,-,-,-,-,-,-
36,0.8713177678124553,0.8147057030821431,0.00037844653922538554,0.9554878145064627,0.0023403167724609375,-,-,-,-,-,-
37,0.8732632479676451,0.8265871226329609,0.00030706910209857095,0.9468708389787447,0.002356290817260742,-,-,-,-,-,-
38,0.7642467948648218,0.7040525942004341,0.0008054467164965273,0.83004809410145,0.002380847930908203,-,-,-,-,-,-
39,0.5860370488340345,0.4100753988052759,0.0009103032533026548,0.9001289179028122,0.002337932586669922,-,-,-,-,-,-
40,0.6192442591112808,0.5011888526615268,0.0008006900836961491,0.8835281869345978,0.002364635467529297,-,-,-,-,-,-
41,0.5773981376560129,0.4522827655546951,0.0011982466399113197,0.7392778316712783,0.0023474693298339844,-,-,-,-,-,-
42,0.5734871137555991,0.441526241687402,0.0012493344278710474,0.7684208677180696,0.0023505687713623047,-,-,-,-,-,-
43,0.5725586460319121,0.4479127707362443,0.0018640881352728225,0.7119878345016302,0.0023412704467773438,-,-,-,-,-,-
44,0.5684044246698091,0.4463934635516405,0.0016041094177276212,0.7213870673617858,0.002338886260986328,-,-,-,-,-,-
45,0.5730876788884857,0.4676277577759469,0.0013029138949051144,0.7444975802669468,0.002363920211791992,-,-,-,-,-,-
46,0.5170280298890684,0.4286076774105887,0.0012672189899567959,0.7537996656393087,0.002339601516723633,-,-,-,-,-,-
47,0.5075330606363301,0.5204711498547115,0.000683996812800032,0.9189968389813752,0.002362489700317383,-,-,-,-,-,-
48,0.4664118716693267,0.438027359065958,0.0012127271086262426,0.7381202649424371,0.002320528030395508,-,-,-,-,-,-
49,0.36205044578067413,0.22849796874428138,0.0009740202704863053,0.759584764627813,0.0023407936096191406,-,-,-,-,-,-
50,0.25427416243383427,0.0129366106080207,0.0009465491647800685,0.7535479379998586,0.002328157424926758,-,-,-,-,-,-
51,0.6077883248704851,0.482697813407535,0.0008202006388738905,0.8158900858054952,0.002330780029296875,-,-,-,-,-,-
52,0.6450225589786978,0.5486236505578633,0.0005167715055707216,0.8989452927621703,0.0023429393768310547,-,-,-,-,-,-
53,0.6371333711496888,0.5651404337964661,0.000551256225224579,0.897011854696327,0.0023584365844726562,-,-,-,-,-,-
54,0.6256968884670163,0.5406636115104275,0.0007133852321423161,0.9079027333951067,0.002368450164794922,-,-,-,-,-,-
55,0.645596065129812,0.5536311568079524,0.0008325355008516826,0.8087044584856291,0.002336263656616211,-,-,-,-,-,-
56,0.6283259281217861,0.5214661519131503,0.0016222798816195843,0.7282478051613024,0.0023686885833740234,-,-,-,-,-,-
57,0.6311155999460881,0.5189155175010219,0.0006387977106167558,0.9170453050403864,0.0023567676544189453,-,-,-,-,-,-
58,0.6149012911624984,0.5104388487629251,0.0006219345639651787,0.8180115951643125,0.002337932586669922,-,-,-,-,-,-
59,0.5760880019376674,0.4462777738320648,0.00041292807976631813,0.9346219823838833,0.002354145050048828,-,-,-,-,-,-
60,0.6026483060418604,0.46670433996383365,0.00046402720039954743,0.916284030647017,0.0023491382598876953,-,-,-,-,-,-
61,0.5259692075853905,0.4124561072478842,0.001337837272274639,0.7396575259022997,0.002364635467529297,-,-,-,-,-,-
62,0.533826997396903,0.45228798926813163,0.00044515501998588933,0.9438707217464845,0.002327442169189453,-,-,-,-,-,-
63,0.4627657197133667,0.3874072253527153,0.0004375753531194169,0.9285865899289847,0.0023522377014160156,-,-,-,-,-,-
64,0.442871327339172,0.39011069556357575,0.0008940172290791157,0.8224384653518065,0.0023314952850341797,-,-,-,-,-,-
