Image Pair,Dice full,Dice no background,SSIM,MSE,Mean Dice full, Mean Dice no background,Mean SSIM,Mean MSE,Mean Time,Mean NegJ
0,0.2406938465434287,0.0,0.0036690799410583,0.8333957463648117,-,-,-,-,-,-
1,0.2407546320606106,0.0,0.002904032429030287,0.8174666419986311,-,-,-,-,-,-
2,0.8126581847318918,0.6796123098727456,0.0020950680791859736,0.8594723205387551,-,-,-,-,-,-
3,0.8391012145163097,0.7284148159913852,0.002077924072370056,0.8627497533538656,-,-,-,-,-,-
4,0.85615912219422,0.7816214083117523,0.001718553713028333,0.8741529248489642,-,-,-,-,-,-
5,0.8672757542488412,0.8064989738294045,0.0014020279034331275,0.8822416834899762,-,-,-,-,-,-
6,0.8636622356619559,0.7988107106249737,0.0011476485623606702,0.8854935132035392,-,-,-,-,-,-
7,0.8393951844083845,0.7709725260675626,0.0013613955570134372,0.8929161216520203,-,-,-,-,-,-
8,0.8739415051914697,0.8268502644490179,0.000911716466817302,0.9071143354224773,-,-,-,-,-,-
9,0.8656981371084758,0.8138563083645483,0.0010026232533961736,0.9044525921024913,-,-,-,-,-,-
10,0.8859010272220657,0.843856269767663,0.0008616740885827472,0.9124830710152131,-,-,-,-,-,-
11,0.8619018101551842,0.8026414101061476,0.000642153519447221,0.9222066971423137,-,-,-,-,-,-
12,0.8575906907083302,0.7694093555415332,0.0007165273021249055,0.9244340469922804,-,-,-,-,-,-
13,0.8414530652087554,0.7508629169274792,0.000653256298324478,0.9279175065002093,-,-,-,-,-,-
14,0.8385470782497196,0.7448662061565288,0.0006381864663232679,0.9291779015281891,-,-,-,-,-,-
15,0.8094442596675494,0.7113615129809462,0.0006267153274348789,0.9347903464751629,-,-,-,-,-,-
16,0.7743077736015043,0.6571879936808847,0.0005958522326775334,0.9367207137786628,-,-,-,-,-,-
17,0.646080026691855,0.34346846846846846,0.0020747857203465337,0.8552794929456864,-,-,-,-,-,-
18,0.682525685045676,0.42160919540229885,0.0020551140791582084,0.8721020455489292,-,-,-,-,-,-
19,0.8476290101100545,0.7911981887130883,0.002057589636835017,0.8695741587649579,-,-,-,-,-,-
20,0.8928875245314323,0.8437276380177603,0.0017521089942208858,0.8649928895821543,-,-,-,-,-,-
21,0.8895661146679879,0.8616527299809078,0.0012334253386319658,0.8802765351958961,-,-,-,-,-,-
22,0.8924053373122787,0.8677610246011089,0.0010311745156024452,0.8835429930084935,-,-,-,-,-,-
23,0.9207033247464707,0.8771685748390019,0.0009853209784893603,0.8872246051291713,-,-,-,-,-,-
24,0.9195079160006747,0.888807403527152,0.0009815497690033787,0.8861692244380635,-,-,-,-,-,-
25,0.9165408433975097,0.8744554726883116,0.0010681323008693959,0.8814305142284188,-,-,-,-,-,-
26,0.8894574316084258,0.8551109434704889,0.0013022210595230272,0.8670705446277435,-,-,-,-,-,-
27,0.869269670272387,0.8523336650504281,0.0014782437001018434,0.8593154378871439,-,-,-,-,-,-
28,0.8629492486236541,0.7887282776212998,0.0019182157313921931,0.8408746763254246,-,-,-,-,-,-
29,0.8705474058401024,0.790867971598164,0.001652102337593079,0.838385235683192,-,-,-,-,-,-
30,0.7595800176017304,0.7307866263090144,0.0015399434753715848,0.8321853914450777,-,-,-,-,-,-
31,0.7075782030576702,0.6432213820995252,0.001633033003599532,0.83025477391358,-,-,-,-,-,-
32,0.5712678308834158,0.4553639846743295,0.0017050779352025562,0.8232643068483905,-,-,-,-,-,-
33,0.8766070981873513,0.8491597755577689,0.0012774786439031442,0.870567748620146,-,-,-,-,-,-
34,0.812633390820327,0.8101306844513398,0.0014488699858924941,0.8834611573908168,-,-,-,-,-,-
35,0.8573807285748756,0.8444042298085115,0.001035352064251152,0.8911433084577577,-,-,-,-,-,-
36,0.8340833695033165,0.796768008764722,0.0008854422919346459,0.9111879027206603,-,-,-,-,-,-
37,0.845393554393848,0.8128228301525836,0.0007965910861836129,0.9197931688145558,-,-,-,-,-,-
38,0.8129030631065809,0.7930725053840632,0.0006964093815681263,0.9183334257926239,-,-,-,-,-,-
39,0.8009973036275476,0.6828221310149021,0.0032331373530385932,0.8636831660119042,-,-,-,-,-,-
40,0.8390966559230574,0.7417901772740483,0.002871642257694757,0.8665089440434088,-,-,-,-,-,-
41,0.8926217365613018,0.8343776470451724,0.0025152084798318866,0.8847627885368731,-,-,-,-,-,-
42,0.8767883454685295,0.8087965365469257,0.0028516674683180146,0.876076814625013,-,-,-,-,-,-
43,0.837513313646362,0.7670707520223881,0.002487324948177395,0.8899989540974269,-,-,-,-,-,-
44,0.8522401696997746,0.8105156501904177,0.0024540603907672745,0.8916365979617679,-,-,-,-,-,-
45,0.8581717766150454,0.8111556409774474,0.0020771466358187334,0.8969097639873962,-,-,-,-,-,-
46,0.7865001712317288,0.6867730192085713,0.0018996065156208584,0.9028432338672219,-,-,-,-,-,-
47,0.7253818139787475,0.7102842599562678,0.0019019440999593082,0.9056347052271844,-,-,-,-,-,-
48,0.6020000348706606,0.5580775265432634,0.0019942798751041812,0.9044880809129776,-,-,-,-,-,-
49,0.42541358619785247,0.35285090904498184,0.0017618572962279492,0.9145020925240389,-,-,-,-,-,-
50,0.24887827208486984,0.0,0.0015241212308232733,0.9176988961608006,-,-,-,-,-,-
51,0.7870568177176717,0.686207505446055,0.0018433448207439919,0.8680219185980256,-,-,-,-,-,-
52,0.8307964227408011,0.7741307049135444,0.0017934629164987525,0.8561121038111884,-,-,-,-,-,-
53,0.8236296490936769,0.7978476820099041,0.0016442168860199982,0.863376658403178,-,-,-,-,-,-
54,0.882526760954875,0.8414944670585158,0.002178549073296957,0.8597735935891829,-,-,-,-,-,-
55,0.9001150906579505,0.8718353059420867,0.001989754751993416,0.8474637724267546,-,-,-,-,-,-
56,0.8707773619947301,0.8454801309873774,0.0018178205332967745,0.8625936645532049,-,-,-,-,-,-
57,0.8872016928841584,0.8601587109918261,0.0020249442778914784,0.8573547645306331,-,-,-,-,-,-
58,0.839470771810154,0.8214460664250025,0.0010559239405896652,0.8780102973990012,-,-,-,-,-,-
59,0.8866595961510575,0.8418387740342796,0.0010498100233978902,0.8869192852831485,-,-,-,-,-,-
60,0.8455107141873353,0.7709041123675271,0.0011568925717347133,0.8952667502029423,-,-,-,-,-,-
61,0.8102725297198642,0.7829764720131058,0.0009276625454317505,0.9049650145641706,-,-,-,-,-,-
62,0.8453256845327153,0.8226522677990807,0.0010027183590856665,0.8969237373423596,-,-,-,-,-,-
63,0.7131439652299387,0.6399479689933913,0.0010235033339781605,0.9076544244633569,-,-,-,-,-,-
64,0.5971335315026401,0.6955673102353874,0.0012340990467016493,0.9058256628882938,-,-,-,-,-,-
65,0.8642886563615759,0.7294117647058823,0.0012924540015293484,0.9102471621338414,-,-,-,-,-,-
66,0.7847255860823106,0.7198461646063368,0.002916273448515704,0.83833883091422,-,-,-,-,-,-
67,0.7276309116615505,0.6601523864093697,0.002297667549659089,0.866240303527688,-,-,-,-,-,-
68,0.7098295549479254,0.6550861349086072,0.001954643255817351,0.8721431422215055,-,-,-,-,-,-
69,0.7425933630999144,0.7481041945704753,0.0021900249921447327,0.8487675103763206,-,-,-,-,-,-
70,0.7241156947417867,0.7370474098239248,0.0014278165235376062,0.8838297233085475,-,-,-,-,-,-
71,0.6795941684585516,0.7362091503267973,0.0012833244603142303,0.888238926236581,-,-,-,-,-,-
72,0.9756812040447345,0.9517819706498951,0.0011810399480782763,0.8866521722098946,-,-,-,-,-,-
73,0.7962876906242455,0.7061435581825132,0.0016875951431950945,0.8587152650870626,-,-,-,-,-,-
74,0.8673272121051295,0.8302640398163201,0.0011354754801151208,0.8808659378213525,-,-,-,-,-,-
75,0.884307520341324,0.8388558849049863,0.0009189614599134965,0.8934036527191938,-,-,-,-,-,-
76,0.8744383102760767,0.8322313074045932,0.0009285064320771869,0.8919477412450981,-,-,-,-,-,-
77,0.8607829021160215,0.814933467385493,0.0008730007648950551,0.8991417829814522,-,-,-,-,-,-
78,0.8459017379873383,0.8070882018954227,0.0007621478374549152,0.9110150598261328,-,-,-,-,-,-
79,0.8353383127271008,0.8007343468438861,0.0007419269972561212,0.9111383872957596,-,-,-,-,-,-
80,0.8157612878024969,0.7221572229177148,0.0008831322765413476,0.8992611585909622,-,-,-,-,-,-
81,0.4966414969851365,0.5,0.0014543236490753928,0.8687380744385785,-,-,-,-,-,-
82,0.5703936839321608,0.22695486331849968,0.0018141049307562765,0.8628607279765602,-,-,-,-,-,-
83,0.6114908614837247,0.30213749277874064,0.0013199031529722862,0.8662736312433584,-,-,-,-,-,-
84,0.6516569733393419,0.3805225653206651,0.0011990943127463114,0.8768632189146984,-,-,-,-,-,-
85,0.8882077069054377,0.8241956674679746,0.001140570895984057,0.8830298091529802,-,-,-,-,-,-
86,0.904960139672621,0.8480141066648772,0.0010218960944539618,0.8865053154741946,-,-,-,-,-,-
87,0.9045987096899347,0.8493907942557168,0.0009863951858288627,0.8969780806761465,-,-,-,-,-,-
88,0.9310967303260494,0.8929033480649267,0.000760887462811882,0.9027403320632886,-,-,-,-,-,-
89,0.9348297642281301,0.897602155108141,0.0005876972578970733,0.9145549210679895,-,-,-,-,-,-
90,0.9351688671342855,0.9025550994840348,0.0005561988670950587,0.9193021957371383,-,-,-,-,-,-
91,0.8990560244882718,0.8531190596047438,0.0005042323924999465,0.9202599070284515,-,-,-,-,-,-
92,0.9052670503657254,0.882179174004431,0.0005336197604089041,0.9175719258302413,-,-,-,-,-,-
93,0.8417030911324747,0.769428191774363,0.0005633538058150286,0.927459091205722,-,-,-,-,-,-
94,0.783275975221073,0.6533652043494563,0.0005695130626384777,0.9266812460041206,-,-,-,-,-,-
95,0.759605220396461,0.6105374381633928,0.0005874755376128369,0.9204689953892226,-,-,-,-,-,-
96,0.2490902160793531,0.0,0.0008544770360068884,0.9178228929272862,-,-,-,-,-,-
97,0.877707008852332,0.8236576938375793,0.0006745407388667775,0.9183737157572194,-,-,-,-,-,-
98,0.92028189088544,0.9052094864311832,0.0004685184386805332,0.9300185943289438,-,-,-,-,-,-
99,0.9100114176269313,0.9002212587162525,0.0003333009367432254,0.9465194374235258,-,-,-,-,-,-
100,0.885054671027329,0.8463337398312782,0.00039052423378906564,0.944480425421821,-,-,-,-,-,-
101,0.8793075132828803,0.861380289473935,0.0004263462523033422,0.9493767867521095,-,-,-,-,-,-
102,0.749299556009559,0.6441056748343843,0.00030568190381949774,0.9585239108156235,-,-,-,-,-,-
103,0.6410525710599149,0.35938759065269943,0.002359967697216241,0.8694552489941829,-,-,-,-,-,-
104,0.8594405622653244,0.8023303850431651,0.002077952243093325,0.8774672484929458,-,-,-,-,-,-
105,0.8826019010956364,0.8293371470028075,0.0016661028691207797,0.8906956128875315,-,-,-,-,-,-
106,0.8531998823002824,0.8008904997855774,0.001488979770111243,0.8966442874596035,-,-,-,-,-,-
107,0.7903207323181319,0.6970911916064377,0.001391820638804161,0.8961799985961224,-,-,-,-,-,-
108,0.7616661877734674,0.6862528058145029,0.0025494408258789404,0.8413926611797617,-,-,-,-,-,-
109,0.3460682741766009,0.19552238805970149,0.0011156599980284621,0.898778897433314,-,-,-,-,-,-
110,0.8120921223730883,0.6907349066330621,0.0010014762637441243,0.9148657348014431,-,-,-,-,-,-
111,0.7297167185326382,0.630659118042434,0.005379946472925797,0.8613997866460549,-,-,-,-,-,-
112,0.7134265962549904,0.5966562929101185,0.0012213332944525988,0.9152663253079911,-,-,-,-,-,-
113,0.6960695288050821,0.543946327988127,0.001281176841890881,0.9156167478990711,-,-,-,-,-,-
114,0.6913960565760763,0.5361927585496418,0.0012177539981612982,0.9131486898467746,-,-,-,-,-,-
115,0.5813935051687995,0.43858797906120445,0.001178891493232889,0.923394841580813,-,-,-,-,-,-
116,0.5802080443925948,0.47457942900980876,0.0021912331594430884,0.9158062285611195,-,-,-,-,-,-
117,0.5423676951424323,0.5853734942046458,0.0010463850254644963,0.9399075499535469,-,-,-,-,-,-
118,0.5784892368130621,0.2812803103782735,0.005898952934117537,0.7310961199591728,-,-,-,-,-,-
119,0.535320376011452,0.26068003487358327,0.005626457966333546,0.7493711219880528,-,-,-,-,-,-
120,0.7107393222056014,0.6102139125572483,0.005955344403531147,0.7594513446005363,-,-,-,-,-,-
121,0.8015406130467576,0.7348469724968638,0.004218068412947875,0.8322137312883381,-,-,-,-,-,-
122,0.8567073789936253,0.8191688860173031,0.0031973730975967812,0.8430332772392577,-,-,-,-,-,-
