Image Pair,Dice full,Dice no background,SSIM,MSE,Mean Dice full, Mean Dice no background,Mean SSIM,Mean MSE,Mean Time,Mean NegJ
0,0.24067925377754018,0.0,0.0008007450790519376,0.919896390544474,-,-,-,-,-,-
1,0.24074490829301226,0.0,0.000689820027830956,0.8862772966059723,-,-,-,-,-,-
2,0.818532636289422,0.7018020680040651,0.0006643942607978494,0.8699466228458942,-,-,-,-,-,-
3,0.8266865613769908,0.7130310289832642,0.0005440894282430996,0.8957222628010459,-,-,-,-,-,-
4,0.8043606285725546,0.7045119655032099,0.0003750983443307006,0.9270750999840265,-,-,-,-,-,-
5,0.8566066241989376,0.7986156410813945,0.0004844644716737785,0.8918961568265156,-,-,-,-,-,-
6,0.8139329909824019,0.7412719991861573,0.00020710380972277124,0.9562195389445339,-,-,-,-,-,-
7,0.8034050210719207,0.7394260586650399,0.0003105993419499426,0.9163633253548826,-,-,-,-,-,-
8,0.8223732773138238,0.7590975912650828,0.0002307108099160449,0.9423225196441014,-,-,-,-,-,-
9,0.8477657729606307,0.7861898026713763,0.00024358937310609466,0.9459339286042111,-,-,-,-,-,-
10,0.8471045011006304,0.7881287073204941,0.00028810343132869797,0.9305630628601426,-,-,-,-,-,-
11,0.8596054216478909,0.8072018779881889,0.00014975789905769,0.969590795029345,-,-,-,-,-,-
12,0.8564688010817207,0.7747111450863791,0.0003431968646072688,0.9246712245729708,-,-,-,-,-,-
13,0.815176854406569,0.7300267522739432,0.0002389026527801468,0.9376854213180996,-,-,-,-,-,-
14,0.7886361372464135,0.6847241910767832,0.0002442434368672391,0.9409430712061269,-,-,-,-,-,-
15,0.771244327236019,0.644470220623047,0.00012873241626685633,0.9662891230830124,-,-,-,-,-,-
16,0.7319986780345786,0.634531892668277,0.0002618367270221372,0.9325825814328013,-,-,-,-,-,-
17,0.6210684365059895,0.3283489096573209,0.001226322037188807,0.8791129607173733,-,-,-,-,-,-
18,0.6618385503821591,0.3969578017664377,0.0008729183701070147,0.911480868447022,-,-,-,-,-,-
19,0.8424874872662502,0.7799549781463265,0.0006634768853317335,0.9367709768520225,-,-,-,-,-,-
20,0.8521235553921327,0.7804643209815694,0.00046333917588940374,0.9190415717070656,-,-,-,-,-,-
21,0.867311700615945,0.8255460035763317,0.0004448739072464211,0.9018385488938895,-,-,-,-,-,-
22,0.8701939561597258,0.8413140887267653,0.00026640266621127164,0.9556823845150925,-,-,-,-,-,-
23,0.8903680688354833,0.8451679138681022,0.0003144701637106028,0.9322017900943756,-,-,-,-,-,-
24,0.8973342432569176,0.8614370105418685,0.00034591221476050943,0.9189905151364349,-,-,-,-,-,-
25,0.8891243225320759,0.8504063684888123,0.00020417286170178092,0.9553401974802925,-,-,-,-,-,-
26,0.8781385152013059,0.8386845788368753,0.00029458674310423673,0.931502735831624,-,-,-,-,-,-
27,0.866731616992171,0.8440007883326763,0.00035823743909193736,0.9279842636082144,-,-,-,-,-,-
28,0.8111957187190668,0.7150629990010618,0.0004987537770033376,0.9185416117007777,-,-,-,-,-,-
29,0.8092832771090956,0.7339068711943388,0.0003358112275631879,0.9258626471730559,-,-,-,-,-,-
30,0.7203347233872165,0.6838879453634124,0.0003041737831482923,0.927010682720886,-,-,-,-,-,-
31,0.6849675952838543,0.6966345244847797,0.0003508521298689965,0.9256312413216524,-,-,-,-,-,-
32,0.566233768719556,0.5020067922198209,0.0003304046341644647,0.924809473869681,-,-,-,-,-,-
33,0.8813298758049013,0.8596381663878001,0.00037494825224441514,0.9158380127367652,-,-,-,-,-,-
34,0.7630593380669892,0.7709447219537254,0.0003588285475371458,0.9390438413980461,-,-,-,-,-,-
35,0.851921788892529,0.8426190659350052,0.00036657408531112014,0.931420688339926,-,-,-,-,-,-
36,0.8242879228236747,0.7909581198671408,0.0003966902450951819,0.9312358297569411,-,-,-,-,-,-
37,0.8197507118425529,0.7814807035048335,0.0003642810145931172,0.9287720139255836,-,-,-,-,-,-
38,0.7307829548015023,0.6690170758644125,0.00025777495935192863,0.9419715053404726,-,-,-,-,-,-
39,0.8462741314611849,0.7527590263738021,0.0006315607417572521,0.8920781026441438,-,-,-,-,-,-
40,0.8514703040949527,0.7630870757090074,0.0007151105048547455,0.8903504792927986,-,-,-,-,-,-
41,0.846513292730039,0.785743253154472,0.0006844112369470342,0.906740409645416,-,-,-,-,-,-
42,0.8224331556947884,0.7369686096117372,0.0009138396453755739,0.8866344690781932,-,-,-,-,-,-
43,0.8014984811237573,0.7073347371893943,0.0009290711188247356,0.9121673732611506,-,-,-,-,-,-
44,0.769924006742972,0.6806051334353221,0.0008244729299063602,0.8926897845773271,-,-,-,-,-,-
45,0.7580783645334503,0.6819926317765379,0.0005451226703084046,0.9152851987463788,-,-,-,-,-,-
46,0.7241081055746279,0.609654617200222,0.0004773876527341962,0.9286452008637999,-,-,-,-,-,-
47,0.7087171617735449,0.6584346870061155,0.00041726805836422344,0.9217478448294281,-,-,-,-,-,-
