Image Pair,Dice full,Dice no background,SSIM,MSE,Mean Dice full, Mean Dice no background,Mean SSIM,Mean MSE
4,0.7536269181210158,0.691576460664886,0.0011283020626746032,0.894013359849502,-,-,-,-
5,0.7579017239823677,0.7149961259237556,0.0015064612641610177,0.9067737714032468,-,-,-,-
6,0.810757436998175,0.7370417656597099,0.0011884852697754494,0.9124322859986874,-,-,-,-
7,0.7524031077021931,0.6453176569076832,0.0009583650889678523,0.9243246167529886,-,-,-,-
8,0.735628396122979,0.6208542914171657,0.0007090607000019268,0.9339621267658398,-,-,-,-
9,0.7244282577846499,0.6025764895330112,0.0007323319711086977,0.9305666279055799,-,-,-,-
0,0.7151920055465637,0.5801957131042828,0.0037134877231380435,0.8735442800636647,-,-,-,-
1,0.7217283203106523,0.6135356179635617,0.0037584210499715053,0.8787919011062464,-,-,-,-
2,0.7466591247132837,0.639613496384897,0.0032667955180854876,0.8986405024795743,-,-,-,-
3,0.7370650746127003,0.6437803500205518,0.00324435525390665,0.8975755620345994,-,-,-,-
4,0.6834542375840639,0.5905033215632294,0.004099135444146072,0.9011989671036557,-,-,-,-
5,0.6792607011588188,0.5770910398684751,0.004283060188146142,0.9020517849108121,-,-,-,-
6,0.6315023523230915,0.5182074727107564,0.004596932257620476,0.8992318314430994,-,-,-,-
7,0.6118626999934822,0.522465062405958,0.003288683139428753,0.9119717001441897,-,-,-,-
8,0.6120650925362678,0.5641490475700476,0.002741027956626594,0.918724000013562,-,-,-,-
9,0.5292369760372297,0.46522769929862684,0.0026523668983358738,0.9165420022768865,-,-,-,-
0,0.42568355211342535,0.3539859102706711,0.002253503541247046,0.9233970582003077,-,-,-,-
1,0.25370455747677084,0.009940357852882704,0.0022697530185350487,0.9244302367377532,-,-,-,-
2,0.7199044072252884,0.5859684353603904,0.0018182560530155447,0.8886621941172416,-,-,-,-
3,0.7706649405920064,0.6822296513402943,0.0023073984979003065,0.8773914670133498,-,-,-,-
4,0.771997992327216,0.7187147900099116,0.0016180505043005527,0.8826055462659878,-,-,-,-
5,0.8197810229827883,0.7623722475175405,0.002003070282230432,0.8964264114782952,-,-,-,-
6,0.8140630057818654,0.7302618281221478,0.0013740197871050836,0.9014925559601037,-,-,-,-
7,0.8094281377721075,0.7285092177379173,0.0021348354187922694,0.8969348709249986,-,-,-,-
8,0.856554027212987,0.7691989008845506,0.001842457857462832,0.9019791775807827,-,-,-,-
9,0.8224257466528507,0.7340859598146812,0.000980474558293409,0.922789828150542,-,-,-,-
0,0.7740386479444193,0.6911010950914672,0.001517729251195271,0.914720051118984,-,-,-,-
1,0.797937630825081,0.6898424189846453,0.001473434917047633,0.9254842983297313,-,-,-,-
2,0.7786422362805423,0.715796834178577,0.0008450591396165029,0.9362299995949404,-,-,-,-
3,0.7097599013301539,0.6863061623184604,0.001094938264094887,0.926538191443919,-,-,-,-
4,0.579104910749439,0.5698508318990247,0.0012083909139082563,0.9369742443363921,-,-,-,-
5,0.5212914307267487,0.5441205907399177,0.0010815656614770598,0.933343125437617,-,-,-,-
6,0.6661437721951139,0.33488372093023255,0.001467564828921725,0.9307100968166969,-,-,-,-
7,0.8409147993885875,0.7400243536905209,0.0037190538412632873,0.8692610434853516,-,-,-,-
8,0.75347418559261,0.6269110613590103,0.00231139437110371,0.9006497482067405,-,-,-,-
9,0.741151997798719,0.6039784861921589,0.002321083681740587,0.902938255998704,-,-,-,-
0,0.7466287714710007,0.6406453252557995,0.0023663030365780203,0.8828689253088952,-,-,-,-
1,0.7421585576537365,0.6515896244330749,0.0012152647313475875,0.9143064457741854,-,-,-,-
2,0.7704433951312845,0.685132957292506,0.0014585177209338173,0.908543151883571,-,-,-,-
3,0.9580236117184084,0.9166666666666666,0.000958417907867247,0.9109706919781564,-,-,-,-
4,0.7336985089071033,0.6063285369212925,0.0016439785098921944,0.8807533100555301,-,-,-,-
5,0.8283555173197015,0.7471130635922202,0.0010462722811277172,0.9014222216456398,-,-,-,-
6,0.8414650783073332,0.7372883116883117,0.0009247825683086686,0.9149867907840227,-,-,-,-
7,0.8375463581189277,0.7369676608314946,0.0008449122489574967,0.9157742049675374,-,-,-,-
8,0.8179223376032622,0.7125429396143632,0.0007765347490664924,0.9215077666354832,-,-,-,-
9,0.7898272150505348,0.6940569708898828,0.0006752783789417661,0.929843592889842,-,-,-,-
0,0.7632211466312255,0.6819056987953676,0.0007285953451394032,0.9250375274976139,-,-,-,-
1,0.754418608960048,0.6086781156451867,0.0007206518155279528,0.9315675746737846,-,-,-,-
2,0.24578188070652923,0.0,0.003111032555573067,0.8628290920382576,-,-,-,-
3,0.574917441370154,0.2583323728188165,0.0027704338250830077,0.8774832765974017,-,-,-,-
4,0.5732650109759585,0.24187244422643747,0.002153755079839719,0.8747816462870022,-,-,-,-
5,0.6130063119063848,0.31733423740361494,0.0019183784343294204,0.8867314529327266,-,-,-,-
6,0.8013104222837885,0.691786553562217,0.0014812714019805258,0.8939242522390068,-,-,-,-
7,0.8546960531110572,0.7568329360615691,0.002126158085600514,0.9087572921659935,-,-,-,-
8,0.8407826923431367,0.7266790721661387,0.0008321110406228343,0.9200690267941604,-,-,-,-
9,0.8603831859950671,0.7609657789056148,0.0011274680023901221,0.9192909424865552,-,-,-,-
0,0.8471277522671181,0.7442627094385129,0.0006148204850149731,0.9305041695679538,-,-,-,-
1,0.8370231265466233,0.7224904885163729,0.0006017128803899637,0.9380798190069163,-,-,-,-
2,0.8180580490632153,0.6849942251490948,0.002092609592329029,0.9296222041879451,-,-,-,-
3,0.804405535010331,0.6924557235057209,0.0008362723843679701,0.9338778661881928,-,-,-,-
4,0.7512225263191442,0.5802211614317996,0.0008117098680926477,0.9407467104076175,-,-,-,-
5,0.6990597962583057,0.5030732860520095,0.00043620995388266834,0.9442248373180983,-,-,-,-
6,0.666616850409822,0.46339937350642635,0.00042046936659415046,0.9356994868835523,-,-,-,-
7,0.24926997370091594,0.0,0.0009054523016005624,0.9336566247111081,-,-,-,-
8,0.7567222580653064,0.6558066239418523,0.0007746094357835009,0.926815122673505,-,-,-,-
9,0.7822066822431526,0.714634571777429,0.000503443255348135,0.937230374965901,-,-,-,-
0,0.7975286358586268,0.7460981735964984,0.00047662844059682453,0.9477836307531666,-,-,-,-
1,0.7218624127080243,0.6194490113943414,0.00039396336531419355,0.9551851083439775,-,-,-,-
2,0.7435372801871047,0.6582484153093155,0.00035061364086452437,0.9605142699350204,-,-,-,-
3,0.5843942304198102,0.4826521761314353,0.0002572581457482343,0.9662374142229557,-,-,-,-
4,0.6456790249685398,0.36096823553269547,0.0023044669131868675,0.8919727916451536,-,-,-,-
5,0.7403450646694617,0.6386418419537938,0.0033147218497290125,0.8982004822942162,-,-,-,-
6,0.7128414076181976,0.6077591942951301,0.00276878339074968,0.9092494184093062,-,-,-,-
7,0.7576432046298069,0.6721372247257125,0.0028637297568685854,0.9203757408684807,-,-,-,-
8,0.7203959314639805,0.6416675481588566,0.0024881592322011205,0.9236196606500906,-,-,-,-
9,0.7810849371251603,0.6921464091737077,0.0011922210597770304,0.9146570913956145,-,-,-,-
0,0.3264414401088661,0.15584415584415584,0.00093241034642034,0.928430880193154,-,-,-,-
1,0.757999411732401,0.5978076091947062,0.001419513709528566,0.9233174084591238,-,-,-,-
2,0.74047380900976,0.5796708480920635,0.006984260317860364,0.8686135454324942,-,-,-,-
3,0.6531898509006702,0.4821201336845242,0.0012592069802702052,0.9394190862230436,-,-,-,-
4,0.7104414714451077,0.5164853983348818,0.001999246621959831,0.9263224858234348,-,-,-,-
5,0.6999105698469267,0.5105894041857633,0.0019901060524892484,0.9240062515201865,-,-,-,-
6,0.6665077976683154,0.48970588235294116,0.0018493930754679597,0.9426279913013862,-,-,-,-
7,0.6695124621791334,0.4838799260319265,0.0026075119872601134,0.9371728330613823,-,-,-,-
8,0.5695798902836313,0.5200382592061215,0.000858254539949047,0.9633856185330777,-,-,-,-
9,0.557263116954104,0.2693101405427148,0.009630955464176165,0.7942497027321932,-,-,-,-
0,0.5699851804945598,0.2749282215217037,0.0057386928144919965,0.8478916231106961,-,-,-,-
