Image Pair,Dice full,Dice no background,MSE,SSIM,Time,Mean Dice full, Mean Dice no background,Mean MSE,Mean SSIM,Mean Time,Mean NegJ
18,0.4235980516928572,0.10214168039538715,0.001026937549467985,0.9034001181054927,0.007642984390258789,-,-,-,-,-,-
19,0.5966309433927199,0.4591963669890066,0.0009556532927707761,0.9035297020428958,0.0024306774139404297,-,-,-,-,-,-
20,0.5869190113790287,0.41776543283758677,0.0009476932264452445,0.8984607101538041,0.007513999938964844,-,-,-,-,-,-
21,0.589318754311424,0.4306740403101511,0.00074924948668152,0.9073952695544987,0.003759145736694336,-,-,-,-,-,-
22,0.6011722025130297,0.45606991763362825,0.0006236821456459372,0.9116179433061253,0.0064013004302978516,-,-,-,-,-,-
23,0.6039254569264348,0.45742610293546504,0.0006460367078699945,0.9115327330715599,0.0023398399353027344,-,-,-,-,-,-
24,0.6278858957505389,0.4947226952988636,0.000696879211652695,0.9080119383059797,0.006815433502197266,-,-,-,-,-,-
25,0.6156143184212812,0.4797170382591329,0.000730475340161429,0.9041964470451609,0.00690150260925293,-,-,-,-,-,-
26,0.5765533487289621,0.41586072595519186,0.0008829935857825114,0.893894843714498,0.0064318180084228516,-,-,-,-,-,-
27,0.5425657654839957,0.3654530439980624,0.0010470436662853996,0.884800267690757,0.0073282718658447266,-,-,-,-,-,-
28,0.504008823537079,0.3100326934425265,0.0012400157318969126,0.8782115431152595,0.0062448978424072266,-,-,-,-,-,-
29,0.4270824598892592,0.1624447190426639,0.0010579986610287678,0.8727261519825308,0.0071337223052978516,-,-,-,-,-,-
30,0.3583123074754422,0.13595472468600436,0.000993168758503531,0.8704635727504623,0.007463693618774414,-,-,-,-,-,-
31,0.3817347926555569,0.2125261523925221,0.0010739342310185388,0.8666384408015516,0.002286672592163086,-,-,-,-,-,-
32,0.3025685741209869,0.05319148936170213,0.0010955231343540036,0.8621533562131836,0.011740684509277344,-,-,-,-,-,-
33,0.8826506383363693,0.8351961930209144,0.0008538121277319145,0.8946813240768698,0.002270936965942383,-,-,-,-,-,-
34,0.8678448252895135,0.8268762598750046,0.0009691964268574734,0.905507689019144,0.011809587478637695,-,-,-,-,-,-
35,0.8836999198850775,0.8462050435755104,0.0007862867260195999,0.9117674059983609,0.005271196365356445,-,-,-,-,-,-
36,0.8532383385184581,0.7952624903944072,0.0006832783026066338,0.9231289287646611,0.002519369125366211,-,-,-,-,-,-
37,0.8900093669989828,0.8434068257324071,0.0005842970042910142,0.9302306704822085,0.004764556884765625,-,-,-,-,-,-
38,0.8086604405155604,0.7181978243098787,0.0005718751356569408,0.9306447335576861,0.0023429393768310547,-,-,-,-,-,-
39,0.6002794324544877,0.42467225971447925,0.0018696119638528135,0.8905103065083657,0.0025594234466552734,-,-,-,-,-,-
40,0.6112071872107099,0.4679856201174796,0.0018434203177263107,0.8895968827332802,0.0023615360260009766,-,-,-,-,-,-
41,0.6048885802566181,0.4680467390937513,0.0019684684705699182,0.9066223780179751,0.002325296401977539,-,-,-,-,-,-
42,0.5824789871683517,0.4419246342737722,0.0019269672798726387,0.9041574192578283,0.004689455032348633,-,-,-,-,-,-
43,0.5568965825382062,0.4194065866029544,0.0017954168761842508,0.9119008556462858,0.0023343563079833984,-,-,-,-,-,-
44,0.56254761809754,0.4377689204921342,0.0015727685486789187,0.9152582622597055,0.004316091537475586,-,-,-,-,-,-
45,0.5351118209318213,0.40317307089575627,0.0011982985951640424,0.9232085102419535,0.002366304397583008,-,-,-,-,-,-
46,0.48089957685022666,0.37041420118343193,0.0010776805131180352,0.9260925877984868,0.0023419857025146484,-,-,-,-,-,-
47,0.4713736625216327,0.38643700957664434,0.0017112863096316452,0.9241268763926562,0.0024251937866210938,-,-,-,-,-,-
48,0.429799511680372,0.31005799755799757,0.0011676512240100722,0.9264664712245215,0.0041539669036865234,-,-,-,-,-,-
49,0.38169046627751385,0.2514864748077089,0.0009715900422070487,0.9325325326346364,0.00579524040222168,-,-,-,-,-,-
50,0.2552289071148088,0.014326647564469915,0.0009103720231782317,0.9337625382430386,0.012508153915405273,-,-,-,-,-,-
51,0.6009645953217906,0.45922553415053563,0.0009590298948476445,0.8980314879547228,0.0024008750915527344,-,-,-,-,-,-
52,0.6178241387996587,0.508313205639499,0.0010491496598621257,0.8886985610495776,0.002338409423828125,-,-,-,-,-,-
53,0.6166792791438329,0.5366871237605018,0.001035360621312441,0.8881029587281158,0.002348661422729492,-,-,-,-,-,-
54,0.638552267169493,0.5647404288782933,0.0014192339599450098,0.8885600685732062,0.002363443374633789,-,-,-,-,-,-
55,0.6526984578053755,0.5639444749826842,0.0008990073832891571,0.8999981554409822,0.0024001598358154297,-,-,-,-,-,-
56,0.6451606832531229,0.5510402947036084,0.0013064516583634264,0.8965539885501111,0.007637739181518555,-,-,-,-,-,-
57,0.6361253464032477,0.5290852612057066,0.0011676594662475771,0.8919626729929687,0.0023615360260009766,-,-,-,-,-,-
58,0.62449863182684,0.5213525826253996,0.0006190369340990391,0.9118890780073413,0.002343416213989258,-,-,-,-,-,-
59,0.5851372019915736,0.4612838853905983,0.000711379767021425,0.9114967795415709,0.00598597526550293,-,-,-,-,-,-
60,0.5973851239636941,0.45421808527569385,0.0007345518454610912,0.9200088260187147,0.002347707748413086,-,-,-,-,-,-
61,0.5383474482548095,0.4262879057949156,0.0005691868954710185,0.9281980656392385,0.00261688232421875,-,-,-,-,-,-
62,0.5497186297228411,0.4769215939226009,0.0006629687769188805,0.9202219231456331,0.003798961639404297,-,-,-,-,-,-
63,0.4585620137090153,0.3749882594986247,0.0006451887380774413,0.929058769189287,0.002583026885986328,-,-,-,-,-,-
64,0.474675183418934,0.45354050411211233,0.0010066911934870641,0.9242976249084498,0.02132725715637207,-,-,-,-,-,-
65,0.596768162090496,0.20114942528735633,0.0010099545413252758,0.9275921495355001,0.005291938781738281,-,-,-,-,-,-
66,0.848154594633321,0.7594578211888442,0.0017859165737893587,0.8743668988503682,0.0026814937591552734,-,-,-,-,-,-
67,0.8111231445402584,0.7048714512730334,0.0012593741325313006,0.89445235522373,0.0025713443756103516,-,-,-,-,-,-
68,0.7995328571924357,0.6841465660714157,0.0013106301228551379,0.8984910144054641,0.0024263858795166016,-,-,-,-,-,-
69,0.812468104774485,0.7298908827174988,0.0013995115904635901,0.8834992756078214,0.005720376968383789,-,-,-,-,-,-
70,0.8067924092331961,0.7200221360316392,0.0008696074242159455,0.9076514048098592,0.002444028854370117,-,-,-,-,-,-
71,0.8043767560699343,0.7385392385392385,0.0010944480901101028,0.905205524742069,0.0023686885833740234,-,-,-,-,-,-
72,0.9692844503418616,0.9390243902439024,0.0008551675741270005,0.9044913071323807,0.0023539066314697266,-,-,-,-,-,-
73,0.5837257786728974,0.41612044798558606,0.0009660433117944615,0.8927211793484615,0.0029442310333251953,-,-,-,-,-,-
74,0.6588643602465486,0.5220093980578362,0.0006822457260359818,0.910427003092118,0.002367258071899414,-,-,-,-,-,-
75,0.6906046942910408,0.5430161906844102,0.0005986463777200213,0.9175983099342545,0.0023670196533203125,-,-,-,-,-,-
76,0.6861926412037144,0.5459869041519543,0.0006142799424213931,0.9176581498593469,0.0023436546325683594,-,-,-,-,-,-
77,0.7113359841685184,0.5960251386260355,0.000587225855231029,0.9226321793594353,0.005230903625488281,-,-,-,-,-,-
78,0.6623808777654844,0.5479650785664569,0.0005196543372008467,0.9286773328014228,0.0023703575134277344,-,-,-,-,-,-
79,0.6395751321881695,0.5356936466492602,0.0005093367292628167,0.9289756112823174,0.0049626827239990234,-,-,-,-,-,-
80,0.607142946732222,0.4367455565060355,0.0005947722993982419,0.9228857859805869,0.0055925846099853516,-,-,-,-,-,-
81,0.32525430269352473,0.0,0.0010832588031680693,0.8930020041728294,0.0023834705352783203,-,-,-,-,-,-
82,0.3725279738688341,0.006493506493506494,0.0011050337255123716,0.8932133879746543,0.00238800048828125,-,-,-,-,-,-
83,0.39353505055236604,0.022044088176352707,0.0008782839594251502,0.892030348937627,0.005349636077880859,-,-,-,-,-,-
84,0.4111774877322295,0.06311274509803921,0.0007129520822816477,0.9028075901545363,0.005265951156616211,-,-,-,-,-,-
85,0.5486636710409459,0.3409280527708613,0.0007311697443628543,0.9067623071326038,0.0023424625396728516,-,-,-,-,-,-
86,0.5752801656204211,0.37607384277277633,0.0006419052167011266,0.9111891759812188,0.002437591552734375,-,-,-,-,-,-
87,0.6568327719004334,0.48185301309296624,0.0005902421298394779,0.9203534793871854,0.0024106502532958984,-,-,-,-,-,-
88,0.6493039004137694,0.49372368425567836,0.0005375079245036467,0.9203117462826982,0.0023598670959472656,-,-,-,-,-,-
89,0.7102549423850397,0.5525928195713462,0.0004516318117787296,0.9273353542465274,0.0024132728576660156,-,-,-,-,-,-
90,0.6891346731682517,0.533023909457358,0.0004368507388703704,0.9320556761486589,0.003926753997802734,-,-,-,-,-,-
91,0.7021613514602603,0.5578313272928951,0.00039843390387178266,0.9318699111115365,0.0023441314697265625,-,-,-,-,-,-
92,0.6541589429357619,0.5378584857057638,0.0004023850782899075,0.9309555083324246,0.004660367965698242,-,-,-,-,-,-
93,0.5945462312421286,0.38142717497556206,0.0004281711489399876,0.9383939525931275,0.002324819564819336,-,-,-,-,-,-
94,0.617634928886429,0.4619238206895622,0.00041330629802231874,0.9396708730939244,0.002597808837890625,-,-,-,-,-,-
95,0.5265767218688661,0.3402167686792429,0.00045351778360701566,0.9334766748104777,0.002588510513305664,-,-,-,-,-,-
96,0.24871394034137387,0.0,0.0004992407994846543,0.9324471076464059,0.0025665760040283203,-,-,-,-,-,-
97,0.6718558890263614,0.5730413872593967,0.0004093157349930969,0.9331459387256985,0.0025551319122314453,-,-,-,-,-,-
98,0.6455620653337192,0.5546025964565393,0.0003754083962845365,0.9389162446736935,0.0025725364685058594,-,-,-,-,-,-
99,0.6175689701798714,0.5003187420314492,0.00028566666180124983,0.9523159201676646,0.0025703907012939453,-,-,-,-,-,-
100,0.45240085627053694,0.23639668137295708,0.0003155288710471334,0.9532770068096263,0.0025963783264160156,-,-,-,-,-,-
101,0.4650092535922403,0.2629746835443038,0.0003284771574038504,0.9567748582036723,0.0025954246520996094,-,-,-,-,-,-
102,0.3418192829111427,0.09302325581395349,0.0002777696833236716,0.9623166167595911,0.0025186538696289062,-,-,-,-,-,-
103,0.5258521778619389,0.23385300668151449,0.001127959204713241,0.9042853892046449,0.0032415390014648438,-,-,-,-,-,-
104,0.604155782671142,0.484985508443327,0.000977128730085866,0.9126152774281999,0.002569437026977539,-,-,-,-,-,-
105,0.6132389953216594,0.4855217099337057,0.000989090396996915,0.9190682483476099,0.002537965774536133,-,-,-,-,-,-
106,0.6295368466392706,0.493176905189249,0.0007924520689520348,0.9227702074341032,0.0025467872619628906,-,-,-,-,-,-
