Image Pair,Dice full,Dice no background,SSIM,MSE,Mean Dice full, Mean Dice no background,Mean SSIM,Mean MSE
0,0.24082996653511937,0.0,0.004958048697193649,0.8240872229224503,-,-,-,-
1,0.24044310927525347,0.0,0.0038514795746520695,0.8163988601476727,-,-,-,-
2,0.6724142282579173,0.4751592826706107,0.0032094386937459485,0.8422178259323653,-,-,-,-
3,0.6503515522449062,0.45064352941932473,0.0037508082856337007,0.8315579436430577,-,-,-,-
4,0.663754574766047,0.49896913842992885,0.00309782625531968,0.8469990664574424,-,-,-,-
5,0.6667026875191,0.5162688555736926,0.0032252217903190198,0.8525115290729041,-,-,-,-
6,0.6741661769024473,0.5202848879344505,0.0026833527735500374,0.8484970011419689,-,-,-,-
7,0.700261477017683,0.5543532902212451,0.002719396635001022,0.8582112779246018,-,-,-,-
8,0.7164808519997211,0.5822941904296032,0.0023858902405390976,0.8667533190754666,-,-,-,-
9,0.712948786180909,0.5770011318507312,0.0025199509721846947,0.8650628898264111,-,-,-,-
10,0.7182916369611303,0.6065036220214728,0.0019770483869515697,0.8794692517220272,-,-,-,-
11,0.7027663516208194,0.5697746268938322,0.0015960982433218024,0.8919223455736549,-,-,-,-
12,0.6869373022358773,0.5349349398377169,0.0015932582984619229,0.8945217664776525,-,-,-,-
13,0.6855852901202244,0.5439496056797186,0.0013550896546640212,0.9027555058525448,-,-,-,-
14,0.6499561398978474,0.5026471504204297,0.0012382353006304672,0.9074055907707644,-,-,-,-
15,0.6453288228409702,0.5021780822466277,0.001065314886017637,0.9174777720096828,-,-,-,-
16,0.6331481795669401,0.525512967464826,0.0010227262105878241,0.9224276497356387,-,-,-,-
17,0.44458396957466484,0.08317815021725636,0.004254724422165919,0.8211977438851664,-,-,-,-
18,0.5164253698593063,0.21783181357649442,0.003924006099364696,0.8435179075978303,-,-,-,-
19,0.6881574344763075,0.5802863203486257,0.0030302329348189504,0.8430209645759628,-,-,-,-
20,0.6989790399948252,0.5776365933608257,0.0027765842673810365,0.8316943405531837,-,-,-,-
21,0.7226708989314095,0.6307996394418578,0.0022740558234221548,0.840048710712648,-,-,-,-
22,0.729963308756824,0.6531268101148028,0.0019795806142256602,0.8399655537291046,-,-,-,-
23,0.7369784400815973,0.660904260587392,0.002006347129092318,0.8422496616189845,-,-,-,-
24,0.7532700358269058,0.680355939510753,0.0020497467961514307,0.8431052921819131,-,-,-,-
25,0.7361433852130074,0.6511238994638728,0.0020918458911216337,0.8453824460893573,-,-,-,-
26,0.7359668822220133,0.6555855824060582,0.0024958084227266974,0.8279237174432398,-,-,-,-
27,0.6878696528423326,0.5778934571311748,0.0026837005581054497,0.8209783136652105,-,-,-,-
28,0.6599120623242059,0.5430690783951654,0.0030064943074192157,0.815489430950089,-,-,-,-
29,0.5885430067306209,0.4082103223904483,0.002429940164453848,0.8128893341550754,-,-,-,-
30,0.47951670090919374,0.3300623946505874,0.002362341550854663,0.8081413128660728,-,-,-,-
31,0.46690978493546065,0.3388439046333783,0.0023458428765034977,0.8070738635205802,-,-,-,-
32,0.42352387519193213,0.2393344244408074,0.00229409211920005,0.8075497059004819,-,-,-,-
33,1.0,1.0,0.0018161328546607014,0.8587921837773288,-,-,-,-
34,1.0,1.0,0.00227886237188808,0.875372657405818,-,-,-,-
35,1.0,1.0,0.001645553744649028,0.8851789827542769,-,-,-,-
36,1.0,1.0,0.0013519318003876676,0.9019694262610256,-,-,-,-
37,1.0,1.0,0.001096168300640623,0.9091035901779374,-,-,-,-
38,1.0,1.0,0.000917670026174172,0.9104206444376053,-,-,-,-
39,0.6766232350978172,0.5204007410965483,0.005584202567486369,0.8441016128115026,-,-,-,-
40,0.6860333350539218,0.575041253122082,0.005599444422436278,0.8449858206071477,-,-,-,-
41,0.6799872133465727,0.5779878194983935,0.0062573069628273845,0.8588452584669434,-,-,-,-
42,0.6729175324101155,0.5642225031605563,0.006426056012170545,0.8514911644277344,-,-,-,-
43,0.6527030266560422,0.5461608441531852,0.006732719965110555,0.8626443729398676,-,-,-,-
44,0.6662431626770905,0.5623208858011289,0.006314467833710359,0.8683529296914216,-,-,-,-
45,0.6493830482500189,0.5447146470859118,0.005733006671045688,0.8749494444158228,-,-,-,-
46,0.5913837462672729,0.504755905511811,0.005057698867717824,0.881664832941848,-,-,-,-
47,0.5633155509422544,0.5022633020122027,0.004126282052192964,0.8877937508933256,-,-,-,-
48,0.4846956052528276,0.39521263050674815,0.003643165379835,0.8922656007243817,-,-,-,-
49,0.4176163053493787,0.3383411580594679,0.0029300764801824955,0.9046767129724953,-,-,-,-
50,0.2566288669732552,0.016420361247947456,0.0027677767818807433,0.9100467526536821,-,-,-,-
51,0.6575778052752341,0.5173452809286712,0.003566917757831715,0.8262951958583348,-,-,-,-
52,0.6889950250225378,0.5959442202294103,0.0032840240547217818,0.8171994125508162,-,-,-,-
53,0.6903977516360891,0.6320982081711497,0.0030611058989115565,0.810968247639838,-,-,-,-
54,0.7200128969885422,0.6571308392387101,0.0045990398454500364,0.8132090632522087,-,-,-,-
55,0.7347877205637218,0.6659194358401008,0.0037584880323035122,0.8186223695701225,-,-,-,-
56,0.7337448063273476,0.6531281889950117,0.005333486475023508,0.8087557413051437,-,-,-,-
57,0.7228069109252823,0.628731008099978,0.0048371060652201816,0.8030767167375309,-,-,-,-
58,0.7199739780834,0.6441618341804178,0.003127048292527518,0.8302198390630332,-,-,-,-
59,0.6732948392504056,0.5650696411992677,0.0037125791712962286,0.8356314117211243,-,-,-,-
60,0.7009911064628319,0.5838428429533165,0.003974677240040845,0.851803731605454,-,-,-,-
61,0.6341619665806439,0.5553300865800865,0.0033734431732003727,0.8640326232526476,-,-,-,-
62,0.6266360097287661,0.5741003939103587,0.003126965321113576,0.8631120800256649,-,-,-,-
63,0.519437869038228,0.4685642466199902,0.003021094845065762,0.8713463963805623,-,-,-,-
64,0.49708553751730555,0.4970996760184738,0.002853705057742606,0.8694541876697013,-,-,-,-
65,0.6375419238542634,0.28,0.0029873551507489196,0.8742304061920206,-,-,-,-
66,1.0,1.0,0.005214700477357972,0.8229167132070806,-,-,-,-
67,1.0,1.0,0.00458433473450767,0.840885323023447,-,-,-,-
68,1.0,1.0,0.004296501027588369,0.8547992157726313,-,-,-,-
69,1.0,1.0,0.004054859144075849,0.8373532542700582,-,-,-,-
70,1.0,1.0,0.002260591143061788,0.8743259932011516,-,-,-,-
71,1.0,1.0,0.0019650177769459844,0.8831525109513205,-,-,-,-
72,1.0,1.0,0.0014225276665849533,0.8816714216826177,-,-,-,-
73,0.6484586069012077,0.4970414880328812,0.0029409256052581453,0.8234944659594748,-,-,-,-
74,0.7556880974743556,0.6669582606791827,0.0018954378408703356,0.8493029729448723,-,-,-,-
75,0.7873676248974041,0.6976064247782517,0.0016372351618647177,0.8605669506259843,-,-,-,-
76,0.7924868024230112,0.715090938296121,0.0016400262958625484,0.8617971480443852,-,-,-,-
77,0.7923831527921646,0.7174796691889058,0.0014488740116364012,0.8689336924424165,-,-,-,-
78,0.7442512401714643,0.6696811796934197,0.001346941882214801,0.8872426362875064,-,-,-,-
79,0.7247985930656402,0.665868235577287,0.001111130623345657,0.8858891397115212,-,-,-,-
80,0.7259671864878552,0.5683327062904713,0.0014167430658895556,0.8697077190624902,-,-,-,-
81,0.32625999593698635,0.0,0.004219906397038779,0.8326659523562818,-,-,-,-
82,0.4240118309652694,0.040675844806007506,0.004672263755276968,0.8271067350784409,-,-,-,-
83,0.478253753492601,0.12087912087912088,0.003371033839920837,0.8387610435028773,-,-,-,-
84,0.505260168522724,0.17174515235457063,0.0031369678063132337,0.8455636255592525,-,-,-,-
85,0.6426356166017093,0.4672193067839069,0.0030159746760838857,0.8381726334025681,-,-,-,-
86,0.7065871637450957,0.5728809594478346,0.0027983214109481725,0.8419988933434169,-,-,-,-
87,0.7822306144575883,0.6769754062362758,0.001799548794875987,0.8682188126401625,-,-,-,-
88,0.792174799449743,0.7135220920410759,0.0017796025951584875,0.8695983838841264,-,-,-,-
89,0.8280590410698786,0.7389940582990371,0.0012387264502292396,0.884074385956788,-,-,-,-
90,0.8151649603768981,0.7275323544408224,0.0010936384181976723,0.8942900725581848,-,-,-,-
