Model,Mean Time on CPU,Std Time on CPU
VoxelMorph,0.17253416776657104,0.047104813868524414
Fourier-Net,0.21093320207936422,0.0653201121102688
Fourier-Net+,0.14872246448482787,0.07336428656529988
4xFourier-Net+,0.5373074476208005,0.21098903256984455
