Image Pair,SSIM,MSE,Mean SSIM,Mean MSE,Mean Time,Mean NegJ
58,0.9871379332957061,4.019675285060607e-05,-,-,-,-
59,0.9879536869158386,3.5566730019231146e-05,-,-,-,-
60,0.9881053930148777,3.101951276043487e-05,-,-,-,-
61,0.9891601596604223,2.6797155985817055e-05,-,-,-,-
62,0.9877143842375325,4.1264468000863584e-05,-,-,-,-
63,0.9863194704399749,4.280589121079721e-05,-,-,-,-
64,0.9838512322016193,6.210200553104442e-05,-,-,-,-
65,0.9844079637078664,5.6519902875548236e-05,-,-,-,-
66,0.9907018060721898,2.2114421914630253e-05,-,-,-,-
67,0.9894446919659381,2.5017521521014184e-05,-,-,-,-
68,0.9877268762253961,3.060156486897231e-05,-,-,-,-
69,0.9893911228137525,2.6468972159650444e-05,-,-,-,-
70,0.9905973133301075,2.026391665600256e-05,-,-,-,-
71,0.9905364481012812,1.9792311786062388e-05,-,-,-,-
72,0.9913417156590775,1.5926420054219292e-05,-,-,-,-
73,0.9902351661284451,1.9529708505108795e-05,-,-,-,-
74,0.9899648575005324,2.2539996846151708e-05,-,-,-,-
75,0.988138724532542,3.607349172121429e-05,-,-,-,-
76,0.9883361603595286,3.566084275822851e-05,-,-,-,-
77,0.9917309473253522,2.264702806304825e-05,-,-,-,-
78,0.9911373771176979,2.0130487993044067e-05,-,-,-,-
79,0.9898400302767283,2.0571286009200647e-05,-,-,-,-
80,0.991194699219093,1.7284074528916925e-05,-,-,-,-
81,0.9907789958776693,4.7192309740886305e-05,-,-,-,-
82,0.9907307288010601,4.3614153915842134e-05,-,-,-,-
83,0.9928376240876352,1.2411334199491115e-05,-,-,-,-
84,0.9920979251465779,1.871588610064514e-05,-,-,-,-
85,0.9909018408074209,1.7387001719482492e-05,-,-,-,-
86,0.989757401640354,2.486286835132728e-05,-,-,-,-
87,0.9894744536158714,2.9399512721070974e-05,-,-,-,-
88,0.9836227277482054,4.640440861260641e-05,-,-,-,-
89,0.9769413802141546,0.00010592843251035089,-,-,-,-
90,0.9767898767170728,0.00011127997735600059,-,-,-,-
91,0.9768896070563486,0.0001751728145317506,-,-,-,-
92,0.9779530258416889,0.00016110020310190613,-,-,-,-
93,0.9774453112008464,0.0001305533227568964,-,-,-,-
94,0.9808351749936322,8.382808159342884e-05,-,-,-,-
95,0.9820077979248312,6.600301256446393e-05,-,-,-,-
96,0.9823758957358923,5.4532059603945944e-05,-,-,-,-
97,0.9778244312254145,8.272841282429649e-05,-,-,-,-
