Epoch,MSE,SSIM
0,4.5437191199257326e-05,0.9869199057959479
1,4.014747798778231e-05,0.9880864459747192
2,4.0678836390227794e-05,0.9884947457505084
3,3.764915317500272e-05,0.9888340440710784
4,3.6056102422302676e-05,0.9891062746045899
5,3.525861943721167e-05,0.9893217036759775
6,3.5494078083984e-05,0.9894497371249874
7,3.495809841986233e-05,0.9894928575336306
8,3.5367338319878916e-05,0.9895498354978609
9,3.3837632420627065e-05,0.9898327245653288
10,3.44225716394282e-05,0.9897985450287532
11,3.427819988203461e-05,0.9897672786198303
12,3.338355600746119e-05,0.9899095687172647
13,3.377401971010301e-05,0.9898447812529555
