Image Pair,Dice,SSIM,MSE,Mean SSIM,Mean MSE,Mean Time,Mean NegJ
89,0.0028980126680317277,0.7525659334518562,0.018535375595092773,-,-,-,-
90,0.003124707343417891,0.7404669577953842,0.025461912155151367,-,-,-,-
91,0.0032980591510503626,0.7483072333710549,0.039641380310058594,-,-,-,-
92,0.002605493424191607,0.7548786274920405,0.01960611343383789,-,-,-,-
93,0.002415436280258672,0.7678998078835398,0.027726411819458008,-,-,-,-
94,0.002292211960828657,0.7772845469245053,0.0262606143951416,-,-,-,-
95,0.002480940447781303,0.7734790930387775,0.01718592643737793,-,-,-,-
96,0.0022793863691290403,0.7702839548320005,0.016329526901245117,-,-,-,-
97,0.0018985897902020691,0.7753862564737164,0.031430959701538086,-,-,-,-
98,0.002398585308795494,0.7397695214194315,0.025867462158203125,-,-,-,-
99,0.0019809714615513247,0.7735204866340166,0.027148962020874023,-,-,-,-
100,0.0020656018762167014,0.7631666736162911,0.026827335357666016,-,-,-,-
101,0.002334416263012488,0.745261660742257,0.017124652862548828,-,-,-,-
102,0.0031812766266272755,0.7321512133331145,0.01820540428161621,-,-,-,-
103,0.003196380499586245,0.7277819038622577,0.020048856735229492,-,-,-,-
104,0.0027536590934534645,0.7322163640514674,0.0239408016204834,-,-,-,-
105,0.0027250938780404967,0.7574955756081899,0.020395517349243164,-,-,-,-
106,0.002793667283784214,0.7573401323113421,0.0172421932220459,-,-,-,-
107,0.0024141412358064922,0.7760193872614934,0.01955890655517578,-,-,-,-
108,0.002211835208553185,0.7691467265184091,0.01810288429260254,-,-,-,-
109,0.0026302850726316034,0.7550726599315302,0.020592212677001953,-,-,-,-
110,0.002597464175895799,0.7300669544583898,0.02287125587463379,-,-,-,-
111,0.002192766017901941,0.7614780266038123,0.023935794830322266,-,-,-,-
112,0.0029462597771915473,0.7378802561350801,0.027683496475219727,-,-,-,-
113,0.003331725582274044,0.7273923592163221,0.022099733352661133,-,-,-,-
114,0.003191945621170156,0.7382030913987464,0.030681371688842773,-,-,-,-
115,0.0024634021342356148,0.7339407025181932,0.025693655014038086,-,-,-,-
116,0.0019015638959662814,0.77760653976944,0.021234989166259766,-,-,-,-
117,0.0023067891695962572,0.747782363144671,0.021709680557250977,-,-,-,-
118,0.0022711523208457742,0.7433568840337849,0.02369976043701172,-,-,-,-
119,0.0022485443727597717,0.769697836280424,0.02106332778930664,-,-,-,-
120,0.0023560085270863357,0.7560129227391736,0.021053552627563477,-,-,-,-
121,0.002984691545496017,0.7429720629175205,0.024451494216918945,-,-,-,-
122,0.0025712958421587827,0.765679285226108,0.021661996841430664,-,-,-,-
123,0.0024708191622790326,0.7520532476376026,0.020160198211669922,-,-,-,-
124,0.0023757885993395196,0.7608126199449851,0.027946949005126953,-,-,-,-
125,0.0022398412628462576,0.7568589799559957,0.02489948272705078,-,-,-,-
126,0.002217609716666047,0.7563604004843416,0.0274355411529541,-,-,-,-
127,0.0019460775267202616,0.7722263029894032,0.023734092712402344,-,-,-,-
128,0.0021033462735783695,0.7802856955858738,0.01822185516357422,-,-,-,-
129,0.0025739014960993955,0.763648576044231,0.01743006706237793,-,-,-,-
130,0.002775574755492194,0.764806948397699,0.020215272903442383,-,-,-,-
