Image Pair,Dice,SSIM,MSE,Mean Dice,Mean SSIM,Mean MSE,Mean Time,Mean NegJ
29,0.5417198411160606,0.0033106934951028675,0.7512900894200417,-,-,-,-,-
30,0.624093903529557,0.0027381973235276174,0.768181458656227,-,-,-,-,-
31,0.5231757506772614,0.0028077718996138757,0.7265344884669229,-,-,-,-,-
32,0.5880850159971154,0.0022752052788413005,0.7523247678004253,-,-,-,-,-
33,0.6206936004460638,0.0021018539543765278,0.7707790874971313,-,-,-,-,-
34,0.586254252788988,0.0027426496859990954,0.7324367171723961,-,-,-,-,-
35,0.6073665539385517,0.002491574880199406,0.7459677824787154,-,-,-,-,-
36,0.6221897563676198,0.0024500549062794383,0.7776421727170438,-,-,-,-,-
37,0.6639901590563286,0.0028535756196756525,0.7491808125671181,-,-,-,-,-
38,0.6839240449740996,0.0022880018295210174,0.7584618719945989,-,-,-,-,-
39,0.6208532886706443,0.0022592003247127105,0.7621058813305905,-,-,-,-,-
40,0.6064408432458673,0.002542957881615197,0.7562321221472024,-,-,-,-,-
41,0.6303420152046877,0.0024620524655917463,0.7464289647389208,-,-,-,-,-
42,0.5635303553007918,0.0029869808424528798,0.7564712304099342,-,-,-,-,-
43,0.6200407522916168,0.0028873206593190777,0.7449883918926229,-,-,-,-,-
44,0.5347948538155699,0.0033434218080817145,0.7240378444043726,-,-,-,-,-
45,0.6678755651195016,0.0027298166299457804,0.765008097667127,-,-,-,-,-
46,0.6784868466050212,0.0026572704199435177,0.7692238272415599,-,-,-,-,-
47,0.5352493565864669,0.0031747411746009036,0.7325291794688709,-,-,-,-,-
48,0.6871902915545872,0.0024357925713403006,0.7695592079597524,-,-,-,-,-
49,0.709126152515725,0.002314986152060605,0.781064126831877,-,-,-,-,-
50,0.7034566692160713,0.0022368406395536057,0.7612047276248808,-,-,-,-,-
51,0.7629772853560708,0.0021021458318917514,0.7710387022855107,-,-,-,-,-
52,0.6780833889963049,0.0020915198980617335,0.7518999893370255,-,-,-,-,-
53,0.6343275417199881,0.0027073227704034865,0.7510088036792146,-,-,-,-,-
54,0.6028987675301097,0.0029788744906954416,0.7475146756718397,-,-,-,-,-
55,0.6152139022873362,0.0028893265818383065,0.7529248637851942,-,-,-,-,-
56,0.6411904490274246,0.003085300390872033,0.7424714886520235,-,-,-,-,-
57,0.5396491059959532,0.0031170394855297564,0.7215310087193205,-,-,-,-,-
58,0.6567161136533958,0.0026072175288671673,0.7481437286715559,-,-,-,-,-
59,0.6269416943186781,0.0022127168004544727,0.7742876260437371,-,-,-,-,-
60,0.541669386375058,0.0026986517051803107,0.7415168242441956,-,-,-,-,-
61,0.6205032819444491,0.0027946679775748607,0.7490559682437695,-,-,-,-,-
