Epoch,MSE,SSIM
1,0.00018866690279013235,0.9787042140242398
2,0.00016794769929230475,0.9790034235537796
3,0.00016059603364393225,0.979226129177326
4,0.00015573574471661235,0.9794106523690529
5,0.00015367598055347575,0.9796091636613854
6,0.00015228108500805885,0.9796577436973853
7,0.000149980067467469,0.9796869877406376
8,0.00014933213008993385,0.9797588618333675
9,0.0001490519501092497,0.979885067273761
10,0.00014978628066644015,0.9799463379901159
11,0.00014732066283363988,0.9798961757099655
12,0.0001477457860426873,0.9799274915654095
13,0.0001478679710514067,0.9798905614387778
14,0.00014726272923963323,0.9799622612574969
