Epoch,MSE,SSIM
1,0.00017778885773378142,0.9763533634611736
2,0.0001705382456504684,0.976586927431052
3,0.00015865051759483934,0.977129253296081
4,0.00015429183574403683,0.9772353051666834
5,0.00015289495126526563,0.9773195032954161
6,0.00014907356610242728,0.9772902154057534
7,0.00015264278658964054,0.9773271489190357
8,0.00014666405869897953,0.977505976913193
9,0.00014612614245416232,0.977570466762577
10,0.00014558399545492454,0.977596065424129
11,0.00014560185758577792,0.9776470916483658
12,0.00014526342838570936,0.9775248638056752
13,0.00014478413570903216,0.9775354443164123
14,0.0001449923335011269,0.9775158093786206
15,0.0001442334080668258,0.9775316255232173
