Index,MSE,SSIM,Time,Mean MSE,Mean SSIM,Mean Time,Mean NegJ
1,0.00031308674748918157,0.911286690686644,0.7380032539367676,-,-,-,-
2,0.0006048396261226133,0.8509648750718911,0.0093994140625,-,-,-,-
3,0.0010908528919800306,0.8328226018324567,0.008564233779907227,-,-,-,-
4,0.0013914745020308641,0.8494197615580231,0.008417367935180664,-,-,-,-
5,0.0012273990126157588,0.8565231004186608,0.008432865142822266,-,-,-,-
6,0.0011359685397394053,0.866473038499709,0.008366584777832031,-,-,-,-
7,0.0008691448499978668,0.8809685392634737,0.008601903915405273,-,-,-,-
8,0.0006880612287710473,0.8832600843589449,0.008226871490478516,-,-,-,-
9,0.0005330562386019426,0.8815892925958019,0.011200189590454102,-,-,-,-
10,0.0011907240244871354,0.8285896529270353,0.011361837387084961,-,-,-,-
11,0.0013665111793092631,0.8071209195728952,0.008729696273803711,-,-,-,-
12,0.0002859125704119254,0.9307150432806515,0.00857090950012207,-,-,-,-
13,0.0004952746724739941,0.8919837892038176,0.008459806442260742,-,-,-,-
14,0.0008107829382561048,0.8767366590139473,0.011330604553222656,-,-,-,-
15,0.0007275746856569916,0.8858434354309715,0.011107444763183594,-,-,-,-
16,0.0006664008031776087,0.8974430192226553,0.00837254524230957,-,-,-,-
17,0.0005339034413691631,0.9115104550020219,0.008420228958129883,-,-,-,-
18,0.00034712731374823315,0.9320069483926087,0.008341789245605469,-,-,-,-
19,0.00047938636203187897,0.918042581786661,0.008439779281616211,-,-,-,-
20,0.0006742545365926364,0.887274940542233,0.008427619934082031,-,-,-,-
21,0.0011263827964499617,0.8236696945616379,0.011126279830932617,-,-,-,-
22,0.001237342254097288,0.821597055543704,0.011066436767578125,-,-,-,-
23,0.00028780896953235486,0.9379961407397884,0.008553266525268555,-,-,-,-
24,0.00033463345933315884,0.9191139806731483,0.008403301239013672,-,-,-,-
25,0.00047889426464933,0.9036429575823763,0.008300304412841797,-,-,-,-
26,0.000454492469519662,0.9129029607817578,0.011633157730102539,-,-,-,-
27,0.0003571587015809822,0.932801312824355,0.015105724334716797,-,-,-,-
28,0.0003040900898931028,0.9348722157906622,0.01168680191040039,-,-,-,-
29,0.00026479719406066494,0.9447778867693936,0.012996435165405273,-,-,-,-
30,0.00036461976660430917,0.9351026720949598,0.012273311614990234,-,-,-,-
31,0.0007797729235601501,0.880329575356186,0.009479761123657227,-,-,-,-
32,0.0011870844826001581,0.8444829110782366,0.01121830940246582,-,-,-,-
33,0.0011066585344582317,0.8510076685886813,0.011234760284423828,-,-,-,-
34,0.0002525184920916499,0.9417476052291625,0.008466720581054688,-,-,-,-
35,0.00031261126250304346,0.9213406173141724,0.00845026969909668,-,-,-,-
36,0.00036915608509583136,0.9185392715034478,0.00837254524230957,-,-,-,-
37,0.00035574222286573843,0.9208894834838167,0.011211633682250977,-,-,-,-
38,0.00032924316695007253,0.9304346039735301,0.011234760284423828,-,-,-,-
39,0.0002996827659423933,0.937117408426653,0.009231090545654297,-,-,-,-
40,0.0002315995040449918,0.9482796905832472,0.00880122184753418,-,-,-,-
41,0.0003186469183456238,0.9375776442291457,0.008361101150512695,-,-,-,-
42,0.0005580372284336656,0.9067164123697482,0.008519411087036133,-,-,-,-
43,0.0011754753757456592,0.8690008087919564,0.01126718521118164,-,-,-,-
44,0.0007467837302799157,0.8811481875881244,0.011145353317260742,-,-,-,-
45,0.000281685116654823,0.9388117325923792,0.009307622909545898,-,-,-,-
46,0.00035312648390536776,0.9228313467913667,0.008459329605102539,-,-,-,-
47,0.00036002593013038963,0.9210229456348199,0.008352994918823242,-,-,-,-
48,0.0004269751510592284,0.925213109508195,0.008490800857543945,-,-,-,-
49,0.00038958856797655816,0.9300642657393783,0.010773658752441406,-,-,-,-
50,0.0003225114478294839,0.9337916063689967,0.008499622344970703,-,-,-,-
51,0.00024260284916203544,0.9482061438004227,0.010685205459594727,-,-,-,-
52,0.00036768446062662274,0.930850105945963,0.00839376449584961,-,-,-,-
53,0.0005467856110959155,0.9117392205808967,0.010648727416992188,-,-,-,-
54,0.0008066414591000808,0.8937745483163104,0.011128425598144531,-,-,-,-
55,0.0009612779179633052,0.8925796487293624,0.011056900024414062,-,-,-,-
56,0.00020367734337929186,0.9499960172591451,0.009270668029785156,-,-,-,-
57,0.00022936329773276347,0.9416617315061706,0.008434295654296875,-,-,-,-
58,0.0002819729942247639,0.9267153513566405,0.00839376449584961,-,-,-,-
59,0.00022672217312763238,0.9426553013934174,0.008347749710083008,-,-,-,-
60,0.00021222162248913154,0.9475399713810242,0.011101961135864258,-,-,-,-
61,0.00019665430836802745,0.9474942341078652,0.011080503463745117,-,-,-,-
62,0.00016264354265506698,0.955503735528716,0.009315729141235352,-,-,-,-
63,0.00024396646844707069,0.9431140608702988,0.008422136306762695,-,-,-,-
64,0.00028896736364122775,0.9337007521492678,0.008314132690429688,-,-,-,-
65,0.0004632033513992237,0.911940335925843,0.008536100387573242,-,-,-,-
66,0.00043814176957367753,0.9187273060692539,0.019022226333618164,-,-,-,-
67,0.00013343836831102425,0.962458430671053,0.01125025749206543,-,-,-,-
68,0.00016020988727364876,0.9535755919524503,0.008733272552490234,-,-,-,-
