Image Pair,MSE,SSIM,Time,Mean MSE,Mean SSIM,Mean Time,Mean NegJ
1,0.0002984791866753959,0.9135806398473403,0.7883541584014893,-,-,-,-
2,0.0005849808067104038,0.8503247687172012,0.013212203979492188,-,-,-,-
3,0.0011040075357682613,0.8280450004970803,0.010693550109863281,-,-,-,-
4,0.0014332849310632753,0.845786924180171,0.008661508560180664,-,-,-,-
5,0.0011837870500757662,0.8606001209902507,0.008482933044433594,-,-,-,-
6,0.0011144604201994421,0.8663750416011486,0.009253740310668945,-,-,-,-
7,0.0008206181012084647,0.8857540136978923,0.01125955581665039,-,-,-,-
8,0.0006526769758220354,0.8847126478032621,0.011197566986083984,-,-,-,-
9,0.0005331809021351143,0.8792422184792666,0.00859689712524414,-,-,-,-
10,0.001213453389969286,0.822436449097074,0.008531808853149414,-,-,-,-
11,0.0013139599305687366,0.8122924158966243,0.008469104766845703,-,-,-,-
12,0.0002916040134978557,0.928904089115474,0.009516239166259766,-,-,-,-
13,0.0005137048479135819,0.8838187422324492,0.010714292526245117,-,-,-,-
14,0.0008548196398605211,0.8669124641810074,0.008790016174316406,-,-,-,-
15,0.0007263170254404764,0.8869213542342963,0.008482933044433594,-,-,-,-
16,0.000702831990721835,0.8959564988223468,0.008493185043334961,-,-,-,-
17,0.0005030004202820507,0.9147377793397844,0.008409738540649414,-,-,-,-
18,0.00034207242006426176,0.9322709467725898,0.009572505950927734,-,-,-,-
19,0.00047803383296804203,0.9190745048597934,0.011156082153320312,-,-,-,-
20,0.0006881792043949543,0.8812253513244616,0.010902881622314453,-,-,-,-
21,0.0011405810612658458,0.8242031724409626,0.00846409797668457,-,-,-,-
22,0.001252028138265731,0.8178404362776357,0.00841069221496582,-,-,-,-
23,0.00027929772964607464,0.9374219366039636,0.008455276489257812,-,-,-,-
24,0.0003189249054222149,0.9203430531087388,0.011365413665771484,-,-,-,-
25,0.0004962631596665143,0.8976098391092479,0.011155366897583008,-,-,-,-
26,0.00045520293934071294,0.9105115611014923,0.009283065795898438,-,-,-,-
27,0.000394390823207926,0.9251721463200848,0.010966300964355469,-,-,-,-
28,0.0003182365079546765,0.9339256976194326,0.008767127990722656,-,-,-,-
29,0.00024891874130048073,0.9428829808572405,0.011716365814208984,-,-,-,-
30,0.00035967188199892864,0.9335190585822786,0.011300086975097656,-,-,-,-
31,0.000792199439035884,0.8800105480216998,0.009140968322753906,-,-,-,-
32,0.0011726346794654122,0.8461445608662262,0.008516788482666016,-,-,-,-
33,0.00113221101351494,0.8518830192684929,0.008494377136230469,-,-,-,-
34,0.00023725231637596964,0.943467206478272,0.008672237396240234,-,-,-,-
35,0.00030833854387482475,0.9220506917250095,0.009207010269165039,-,-,-,-
36,0.00037334937647281205,0.9154764124597584,0.01140451431274414,-,-,-,-
37,0.0003754907297676865,0.9180908876355255,0.008747339248657227,-,-,-,-
38,0.0003324159945121498,0.9289899018422171,0.010909080505371094,-,-,-,-
39,0.00029638197804482776,0.9370801695257865,0.008915185928344727,-,-,-,-
40,0.00022378328065590335,0.948507702991902,0.01167917251586914,-,-,-,-
41,0.0003406437468795255,0.933385643546155,0.01141214370727539,-,-,-,-
42,0.0005121460390920493,0.9080359474542402,0.011134147644042969,-,-,-,-
43,0.0011120884429047613,0.867485689175338,0.011449813842773438,-,-,-,-
44,0.0007384490122540796,0.8825910434692342,0.01128697395324707,-,-,-,-
45,0.00027557776435556646,0.9416765784235033,0.008770942687988281,-,-,-,-
46,0.0003418230268564583,0.9243400865694716,0.011030912399291992,-,-,-,-
47,0.00038288216634753495,0.9175997086141895,0.011312484741210938,-,-,-,-
48,0.0003980810715300015,0.9253102341387063,0.011289119720458984,-,-,-,-
49,0.00038168189334308986,0.9300075741413029,0.011250495910644531,-,-,-,-
50,0.000322968176312435,0.9347525560984505,0.011322498321533203,-,-,-,-
51,0.00024260284916203544,0.9482061438004227,0.010532617568969727,-,-,-,-
52,0.00041850808829326793,0.9288738715242408,0.011083841323852539,-,-,-,-
53,0.0005167552193772405,0.9138873972211496,0.01068878173828125,-,-,-,-
54,0.0007952828491086014,0.8953379573369967,0.010567903518676758,-,-,-,-
55,0.0008598788963680065,0.897935639275193,0.022423744201660156,-,-,-,-
56,0.00018749440069174778,0.9515262624112572,0.01057124137878418,-,-,-,-
57,0.00023855190427348992,0.9417362592502262,0.008712053298950195,-,-,-,-
58,0.0002548815515968735,0.9344712408266684,0.008844614028930664,-,-,-,-
59,0.0002429834452055112,0.9402559926405798,0.011483430862426758,-,-,-,-
60,0.00022654897121660773,0.9462941118368977,0.011807680130004883,-,-,-,-
61,0.00019926449806392208,0.9485341867883911,0.011283636093139648,-,-,-,-
62,0.0001624284178434,0.9556637934871755,0.011303424835205078,-,-,-,-
63,0.00023541882264881798,0.9437624647190007,0.011286497116088867,-,-,-,-
64,0.000283135810207164,0.934854734913758,0.008615970611572266,-,-,-,-
65,0.00043588905806154777,0.9154865642424029,0.009212732315063477,-,-,-,-
66,0.0004330946028109803,0.9194511276644693,0.011375665664672852,-,-,-,-
67,0.0001236441015497734,0.963675918193852,0.011289119720458984,-,-,-,-
68,0.00016081003215491076,0.9536352181312209,0.01128077507019043,-,-,-,-
69,0.00016500885189818767,0.9462485725660265,0.011232852935791016,-,-,-,-
70,0.00016212060278816918,0.954563495670762,0.008780956268310547,-,-,-,-
71,0.0001288446226787897,0.9626513902427909,0.00928187370300293,-,-,-,-
72,0.00011987555190209367,0.9629391936085573,0.009185552597045898,-,-,-,-
73,8.950868365597528e-05,0.9700881058687346,0.00876307487487793,-,-,-,-
74,0.00010970509644683527,0.9640959646308912,0.011614561080932617,-,-,-,-
75,0.00016588145663826113,0.9524875314612138,0.011302471160888672,-,-,-,-
76,0.00024358913417224246,0.9423140255430659,0.011245250701904297,-,-,-,-
77,0.00022070530637497272,0.943898292793982,0.011330366134643555,-,-,-,-
78,0.0001285853936197421,0.9677238055912536,0.01137852668762207,-,-,-,-
79,9.885173992656047e-05,0.966917564712264,0.011350154876708984,-,-,-,-
80,0.00012184917689121721,0.9562366204706901,0.016862154006958008,-,-,-,-
81,0.00010914573666774498,0.9655954274749419,0.012353897094726562,-,-,-,-
82,0.00023234424684632604,0.9677088957504681,0.010662317276000977,-,-,-,-
83,0.00020636684029584724,0.9700060218754338,0.011202573776245117,-,-,-,-
84,6.368260474707612e-05,0.9770868767258521,0.010833740234375,-,-,-,-
85,0.00010121255702432804,0.971674124168684,0.010536432266235352,-,-,-,-
86,0.00012023849210948013,0.9649598812242068,0.010484457015991211,-,-,-,-
87,0.00020972621258540818,0.9524342920589326,0.010460615158081055,-,-,-,-
88,0.00020131753346022493,0.9539158022167479,0.010782003402709961,-,-,-,-
89,0.0004119605294446698,0.8834432141645169,0.010537147521972656,-,-,-,-
90,0.001011997898336692,0.8240656442019769,0.010508537292480469,-,-,-,-
91,0.0011881866301157945,0.8395844465769038,0.010491609573364258,-,-,-,-
92,0.0015891117668808542,0.8456830704418924,0.01045680046081543,-,-,-,-
93,0.0018705640697525832,0.8348058780556269,0.010453224182128906,-,-,-,-
94,0.0016357300718496744,0.8243472025872728,0.010429859161376953,-,-,-,-
95,0.000999137900496586,0.8574271873829494,0.008868932723999023,-,-,-,-
96,0.0008547391818095027,0.8665695510030831,0.011182308197021484,-,-,-,-
97,0.0005767366294236429,0.8760641397607316,0.011181831359863281,-,-,-,-
98,0.0006642903734691708,0.8425227309005827,0.009055852890014648,-,-,-,-
99,0.0008943299114523445,0.824979904447165,0.008559942245483398,-,-,-,-
100,0.0006045516856349693,0.8961441641211969,0.008582115173339844,-,-,-,-
101,0.0008873741625725391,0.8571461742244415,0.008635520935058594,-,-,-,-
102,0.0007160914433367865,0.8843991437184759,0.011278867721557617,-,-,-,-
103,0.0009292950310743853,0.8753387110184673,0.011175155639648438,-,-,-,-
104,0.0005645958227651093,0.8982646833427982,0.008974790573120117,-,-,-,-
105,0.00041843196190973945,0.9266943174984608,0.008701086044311523,-,-,-,-
106,0.0003726201735233085,0.9100177869874989,0.00858163833618164,-,-,-,-
107,0.0005439945069130198,0.8924878433717962,0.00849294662475586,-,-,-,-
108,0.0005551887558151314,0.8934566618875267,0.011206388473510742,-,-,-,-
109,0.00045550079420787233,0.8945121484870941,0.011198282241821289,-,-,-,-
110,0.0003851515221938427,0.9068237296153353,0.008524179458618164,-,-,-,-
111,0.0003851095941636206,0.9197287976488338,0.008587360382080078,-,-,-,-
112,0.00042432635760415895,0.9228019214471962,0.008585691452026367,-,-,-,-
113,0.0004388070596596612,0.9148910298910045,0.011510372161865234,-,-,-,-
114,0.00037956378194220925,0.9250198768533107,0.011257410049438477,-,-,-,-
115,0.00032358817045868534,0.9328201335241518,0.010745525360107422,-,-,-,-
116,0.00028210541702498686,0.9485708184669389,0.008547544479370117,-,-,-,-
117,0.0003439886695747325,0.9232302491477808,0.010617733001708984,-,-,-,-
118,0.0004245844867959262,0.9218254383122584,0.009470939636230469,-,-,-,-
119,0.00045734642406522247,0.9145162872149967,0.011430978775024414,-,-,-,-
120,0.00032864417201490905,0.9275933459056817,0.011244535446166992,-,-,-,-
121,0.0002769964369939826,0.9356717074843077,0.011916637420654297,-,-,-,-
122,0.00039595411635822016,0.9254123800492754,0.011191606521606445,-,-,-,-
123,0.00039308688500375974,0.9257406077116958,0.014561176300048828,-,-,-,-
124,0.00040738996963156154,0.9162869297484455,0.00921010971069336,-,-,-,-
125,0.0003184935477578869,0.9284410677976973,0.011050939559936523,-,-,-,-
126,0.00025830593097731994,0.9393812232675923,0.011519670486450195,-,-,-,-
127,0.00017892688570658228,0.9522625615196219,0.012506961822509766,-,-,-,-
128,0.0003898070424062161,0.9234125394151762,0.011242151260375977,-,-,-,-
129,0.0004169238522491189,0.9182381315782755,0.011279582977294922,-,-,-,-
130,0.0005190564826182029,0.9247243556508433,0.008527994155883789,-,-,-,-
131,0.00044709984303686526,0.9264545072215599,0.008652687072753906,-,-,-,-
132,0.00033856530939326067,0.9341930559619936,0.011223077774047852,-,-,-,-
133,0.00017090766653166432,0.9503767650732257,0.011337995529174805,-,-,-,-
134,0.0001694845312733604,0.9524070288847285,0.012228965759277344,-,-,-,-
135,0.0001954297639979526,0.9420222173850213,0.011159420013427734,-,-,-,-
