Epoch,MSE,SSIM
1,0.00018270908304902144,0.9782411293589329
2,0.00016710108350643003,0.9787987418057305
3,0.00015561359793337905,0.9791054928264566
4,0.00015217314220051056,0.9794063773237278
5,0.00015059973763243892,0.9795274893645513
6,0.00014738598730910146,0.9795204767517945
7,0.00014645125754396426,0.9795866657815695
8,0.0001459460914015203,0.9797359982908894
9,0.0001467532665408351,0.9795385330997521
10,0.00014492881709276149,0.9796966484717141
11,0.00014416256605738598,0.9796027552870662
12,0.00014379680541876436,0.9796457330500697
13,0.00014451243351936745,0.9796363811745828
14,0.00014344109563241126,0.9796926732009814
