Image Pair,MSE,SSIM,Mean MSE,Mean SSIM
2,0.001308217167201493,0.8825276249202423,-,-
3,0.0006527532358833687,0.8842964424073494,-,-
4,0.0003988129091559977,0.9075209585131508,-,-
5,0.0002948543712571387,0.9242477611779963,-,-
6,0.0003824896225770458,0.9336545293856608,-,-
7,0.00029960493726728286,0.9311238246370915,-,-
8,0.0010741403818172609,0.8805760836025847,-,-
9,0.0020625515853929803,0.8678494026498046,-,-
0,0.0022880535674441554,0.8789018582128368,-,-
1,0.0012471455400721884,0.8860967233053654,-,-
2,0.00047795879816421236,0.9163688807030936,-,-
3,0.0004320856735987717,0.9054212263774543,-,-
4,0.0003850157996529537,0.9043388213365744,-,-
5,0.00035804111125717597,0.9074423045819011,-,-
6,0.0003495410451044247,0.9192828661182343,-,-
7,0.00023917445513156764,0.9423212389364858,-,-
8,0.0002461672487946127,0.9448752332196615,-,-
9,0.0014294796595337052,0.8981683640219073,-,-
0,0.002398631648953338,0.8389535581701403,-,-
1,0.0018497255374323623,0.868793326053925,-,-
2,0.0019639061468252135,0.8827090255976722,-,-
3,0.0008394846071373841,0.911103909199269,-,-
4,0.0009496827203374112,0.8864189501948112,-,-
5,0.0005563302004948727,0.9012477592473511,-,-
6,0.0003951814678387648,0.9180492054152785,-,-
7,0.0003447947762267237,0.9313920859223684,-,-
8,0.00023144213636581637,0.9455892924931909,-,-
9,0.0003204090205518328,0.9429081415632603,-,-
0,0.000719444164998733,0.9177066369476251,-,-
1,0.0012468978243812044,0.8896025373916148,-,-
2,0.0015488160910637093,0.8909369040734679,-,-
3,0.001321667145586168,0.9038630017809138,-,-
4,0.0002568924400750905,0.9374022626895482,-,-
5,0.0005056031730157097,0.928173129235643,-,-
6,0.0002453651271368293,0.9284206507981555,-,-
7,0.00028857366936482613,0.9316343226660143,-,-
8,0.0002186074932506295,0.9434149108727885,-,-
9,0.0001377760189543069,0.9563129454664647,-,-
0,0.00023199717084595225,0.9409617947502912,-,-
1,0.00027884190968519837,0.9439594879598041,-,-
2,0.001064588743511121,0.9119019707762657,-,-
3,0.0012236789984299997,0.9293745884194378,-,-
4,0.002038149409568323,0.9283921068638465,-,-
5,0.00031002933766160367,0.9524189236634063,-,-
6,0.0002986871638370751,0.9569680769754447,-,-
7,0.00018543906904460345,0.9584687522544366,-,-
8,0.00012619280570257894,0.9685966442117948,-,-
9,7.864074315006708e-05,0.9768535954751008,-,-
0,7.227542644676785e-05,0.9768455030685901,-,-
1,0.000190225927407976,0.962151641475063,-,-
2,0.0004782530885389796,0.9564175352077074,-,-
3,0.0031272457664107455,0.9112895761284169,-,-
4,0.0010713246874418604,0.9515479286488226,-,-
5,0.0014475085070778167,0.9273868617676414,-,-
6,0.0005104181072788182,0.9564640398382506,-,-
7,0.00030352780466901674,0.9639792205880615,-,-
8,0.00015384704171807383,0.9667721085599474,-,-
9,9.057478518709747e-05,0.9743284019659512,-,-
