Index,MSE,SSIM
1,0.001483583922093118,0.8931870971959548
1000,0.0014835839220931177,0.8931870971959548
2000,0.001483583922093118,0.8931870971959548
3000,0.001483583922093118,0.8931870971959548
4000,0.0014831588820294213,0.893195926978269
5000,0.0014241310547173833,0.8940925489163104
6000,0.0013623230318021875,0.8932984942569182
7000,0.0013220318084591692,0.8958181909425295
8000,0.0013013947438825463,0.8947248769622718
9000,0.0012775423261082506,0.8933570163171191
10000,0.0012340557023898303,0.8962662477104487
11000,0.0012230838775362885,0.8969337169433231
12000,0.001200149569634614,0.8966773013590388
13000,0.001208258416748194,0.8907614145231667
14000,0.001215776212374799,0.8987412822287819
15000,0.0011513594991857824,0.8992893120581381
16000,0.0011593914771326462,0.8989117275630206
17000,0.0011401714712020326,0.8994576944848666
18000,0.0011334218190744555,0.9001738766128982
19000,0.0011139806277763865,0.8992352025092145
20000,0.0011249909461248115,0.898584216182648
21000,0.0011251588570855451,0.9011056521760163
22000,0.0010925470026849821,0.9009408777745769
23000,0.0010903910912844592,0.9010891887460131
24000,0.0010724816168951102,0.9022351752230661
25000,0.0010663489219595618,0.902045090714922
26000,0.001095828625201406,0.9022757183961441
27000,0.0010605688929752571,0.9028873438742463
28000,0.0010565258518052815,0.9030980585564594
29000,0.0010587315357004866,0.9023992829688625
30000,0.0010613656238928338,0.9038521970788477
31000,0.0010750370457837906,0.9033095348478142
32000,0.0010433646723395683,0.9009947964130647
33000,0.001038584646115496,0.904508753229869
34000,0.001018889160597283,0.9037017495496413
35000,0.0010187105097786708,0.9049220682500152
36000,0.0010203695825063326,0.9047935915218633
37000,0.001012269452591779,0.9058551696693871
38000,0.0009904146857692545,0.9035398669046587
39000,0.0010099177142120302,0.9046725390195921
40000,0.0010326926861986081,0.904805422492458
41000,0.0009947210074967158,0.9018949691016898
42000,0.0009592767926133302,0.9047449579475276
43000,0.0009581715537725087,0.9044986210560723
44000,0.0009524602778179588,0.9067901834495192
45000,0.0009552709377661711,0.9077752829878637
46000,0.0009348346458251479,0.9078400033300432
47000,0.0009363166832898205,0.90801498691314
48000,0.0009228983266770118,0.9059756267852418
49000,0.0009370765025794077,0.908216665613098
50000,0.0009119070953405257,0.9085242050203097
51000,0.0009203849919748721,0.9081889872857565
52000,0.0009140129634838345,0.9076624601130723
53000,0.0009103357035396061,0.9084169143021111
54000,0.0009095335988394059,0.9065652492549185
55000,0.000919079626404677,0.9087032358062677
56000,0.0008906368565343362,0.9100867661609954
57000,0.000902344438172372,0.9092880665543074
58000,0.000895570794710925,0.909413857996994
59000,0.0008911741614327089,0.9059749506943536
60000,0.0008859085206306808,0.909541101609617
61000,0.0008775881765660124,0.9107444754408683
62000,0.0008576010149973644,0.9105921969219029
63000,0.0008565082098244332,0.9111589505035074
64000,0.0008528031754482394,0.9103659259041981
65000,0.0008504513417904388,0.9107293911454533
66000,0.0008423113354147566,0.9112784876862432
67000,0.0008691076598048288,0.9113078321793224
68000,0.0008463982592979842,0.9115566320164208
69000,0.0008526829143937251,0.9121319104999347
70000,0.000861152721661137,0.9124131849597685
71000,0.0008261381225624715,0.9110801857401136
72000,0.0008241977891408509,0.9122266754652019
73000,0.0008341386793314738,0.9127879838796672
74000,0.0008270867036015722,0.9117339072853626
75000,0.000823150679350008,0.9107194369645558
76000,0.0008133574712494789,0.9126042428501709
77000,0.000837258754655603,0.9114148413065359
78000,0.0008156046355330964,0.9118785092994611
79000,0.0008101845680157253,0.9127256995261109
80000,0.0008188144721839548,0.9125718668744167
81000,0.0008197101954713356,0.9132299197620959
82000,0.0008065765510560161,0.9126254236166609
83000,0.0008104484756864922,0.9136361227667626
84000,0.0008231860411424066,0.9133453935279103
85000,0.0008227579268234349,0.9126194312337914
86000,0.0007976672853067312,0.9126742582256923
87000,0.0008131573310398064,0.9136973913939136
88000,0.0007958828180625572,0.9140462918720347
89000,0.0007883178216860559,0.912708983107745
90000,0.000801972940971278,0.9130810324626094
91000,0.0007902373947223656,0.9141624852631223
92000,0.0007925867823064249,0.9143063472699375
93000,0.0007833304324541894,0.9138886590067884
94000,0.0008045673905666911,0.9142085085678135
95000,0.0007864303610408878,0.9145267764028207
96000,0.0007906371604990123,0.9145591865769863
97000,0.0007856753099818711,0.9150631670617029
98000,0.0008131434923776043,0.9117900194093933
99000,0.000796446227128162,0.9143110796271715
100000,0.0007809242421101855,0.9148371365077768
