Epoch,MSE,SSIM
1,6.997260995258487e-05,0.9843433963547558
2,6.709815059249725e-05,0.9848735555652529
3,6.354744340446699e-05,0.9851889641306747
4,6.191096377542525e-05,0.9853334667201916
5,6.025219265290521e-05,0.985488008912318
6,5.942451719867776e-05,0.9854831091782892
7,6.0658453756612445e-05,0.9855581237075103
8,6.028278288742038e-05,0.9855745818612149
9,6.04723082554443e-05,0.9855767805243031
10,6.052824615334844e-05,0.9854486334250899
11,5.7996310638361413e-05,0.985693597522645
12,5.976107412434501e-05,0.9856298901927971
13,5.931828849490884e-05,0.9857011641406878
14,5.894869396663783e-05,0.9857244886962985
