Epoch,Dice,MSE,SSIM
1,0.6033934289114355,0.0012976792929381257,0.9027463030860992
2,0.602458302175398,0.0012839192777450838,0.9049978503753637
3,0.6063373796553175,0.0012946127081610878,0.9052458830236806
4,0.595875748653247,0.0012549233245904678,0.9058905412268994
5,0.5993638038669913,0.001219888662482197,0.9062857213096398
6,0.6055224239389818,0.0012700226136010844,0.9053731164823812
