Epoch,Dice,MSE,SSIM
1,0.6213116356011243,0.0022496048153842698,0.7725767797390918
2,0.622244815379598,0.002233845309900564,0.7750380389460936
3,0.6212832411259097,0.0021958254019626127,0.7804837314843832
4,0.6205561123300923,0.0022504626988336883,0.7744658330764698
5,0.6228182868413193,0.0022254454117248794,0.7763737509895335
6,0.6199544339797228,0.0022024273728211093,0.7789129380796679
7,0.6205256111284626,0.002212270262481807,0.7777169678842502
8,0.621517759586142,0.002232937077353428,0.777177958929546
9,0.6212608124081127,0.002213276781978904,0.7785774368246303
