Epoch,MSE,SSIM
1,7.102666103242637e-05,0.9846617024553727
2,6.802098067921275e-05,0.9852116222919606
3,6.462579412930634e-05,0.9855359453286774
4,6.268077106719642e-05,0.9854947091970019
5,6.117769526918742e-05,0.9857938779675677
6,6.132541656540336e-05,0.9857728396801503
7,6.094218535999769e-05,0.9857912461674674
8,5.8892261302699975e-05,0.9859383821811896
9,6.436503648096041e-05,0.9855913493373213
10,6.084401020681849e-05,0.9859006918427772
11,7.236288440358263e-05,0.9852811371764635
12,6.094915884506569e-05,0.9858650220290186
13,5.975546716351525e-05,0.9859084620804519
14,5.977630770029497e-05,0.9859673133952314
