Index,MSE,SSIM
1,0.001300151535624536,0.8506435276213823
1000,0.001300151535624536,0.8506435276213823
2000,0.001300151535624536,0.8506435276213824
3000,0.001300151535624536,0.8506435276213824
4000,0.001300151535624536,0.8506435276213824
5000,0.001300151535624536,0.8506435276213823
6000,0.001300151535624536,0.8506435276213823
7000,0.0013001515356245359,0.8506435276213823
8000,0.001299261417357757,0.8505723292732328
9000,0.001285566345799968,0.8508594480342524
10000,0.0012508257043763644,0.8525254481543684
11000,0.0012261241586122521,0.8527694198392565
12000,0.0012213527468506135,0.8521975362978934
13000,0.0012066213195528574,0.8534902310803761
14000,0.001168954450900563,0.8549106552054986
15000,0.0011616456412341161,0.8550605008623717
16000,0.001160710453087424,0.8543613456128912
17000,0.0011659523049764977,0.8549169758414338
18000,0.001158815928279255,0.8551432671463782
19000,0.0011397284813154602,0.8550482776575169
20000,0.0011296175880232855,0.8547690184985312
21000,0.0011213029274086972,0.8560915210688762
22000,0.0011298621699552904,0.856384522092723
23000,0.0011291013893020502,0.8559447043882996
24000,0.0011011499061944247,0.856672873057779
25000,0.001102469177619356,0.8567359701638709
26000,0.0010889234715422285,0.856466356389696
27000,0.001091405036435084,0.8575231333113662
28000,0.0011284215055564835,0.85651125801579
29000,0.0010699760187196665,0.8575574273176897
30000,0.0010652174691255015,0.8579811676654507
31000,0.0010682135048004692,0.8587050711252475
32000,0.0010695425890975018,0.8591102435297104
33000,0.0010623155204528177,0.8592133800041168
34000,0.0010471313238293615,0.8595848720023641
35000,0.0010468607447954531,0.8599822392325301
36000,0.001031913620500413,0.8603848735925803
37000,0.0010317094098134948,0.8603850230279798
38000,0.0010302876193454985,0.8605776424374376
39000,0.001032302357624428,0.860938514932173
40000,0.0010161056147682688,0.8614290080728279
41000,0.0010284303267009394,0.8610387443401839
42000,0.0010287189032840407,0.8615012142433818
43000,0.0010135734315311626,0.8617319292939432
44000,0.0010012562702224597,0.8626949975677204
45000,0.0010124101994263388,0.8627241477385463
46000,0.0009982051754504353,0.8614426191730822
47000,0.0009965175829622468,0.8632136039031811
48000,0.001019798207619655,0.8624405538641433
49000,0.0009959640200588064,0.8612814528359136
50000,0.0009834660967021945,0.8635147313633726
51000,0.0010320600979348772,0.8620960358508948
52000,0.0009804218256846341,0.8630317922414992
53000,0.000977110133161656,0.8645038001212867
54000,0.0009734069203060604,0.8641379993622034
55000,0.0009748292690235935,0.864978496532156
56000,0.000979673744266898,0.8640467759503958
57000,0.000980033472743765,0.8648718746487251
58000,0.0009659110760620779,0.8650761847466069
59000,0.0009654313720415251,0.8651286481839633
60000,0.0009846316337506708,0.8650993601235258
61000,0.0009681085982091698,0.865945648488972
62000,0.0009666127290376092,0.863090270450312
63000,0.0009609935474369579,0.8652800003716395
64000,0.0009527707617718625,0.8659611265663978
65000,0.0009503758265335219,0.8661960661237975
66000,0.0009417035394022506,0.8668837851508328
67000,0.0009448888926949503,0.8659127500078398
68000,0.0009347401799693952,0.8675587297051756
69000,0.0009367203832493316,0.8674925482605512
70000,0.0009344236289700865,0.8678708938078392
71000,0.0009257635104528673,0.868549265273431
72000,0.0009490089096057335,0.8677588528244092
73000,0.0009267917586139357,0.8684037328064579
74000,0.0009324766479225225,0.8688058230413822
75000,0.0009137190852377473,0.8693435662567783
76000,0.0009204441041054113,0.8690588085540608
77000,0.0009163350166983093,0.869775300860882
78000,0.0009138215663607053,0.8696230368907067
79000,0.0009072959257058544,0.8700451164814766
80000,0.0009218156527795836,0.8687928662336629
81000,0.0009038532394475747,0.8700099889526504
82000,0.0009031524073568743,0.8709515196117978
83000,0.0009003519136389832,0.8711793474372573
84000,0.0009052386666256369,0.870688094311485
85000,0.0009004329932893164,0.8708125007394305
86000,0.0008968617105822351,0.8694880743098136
87000,0.0008893123410824451,0.8718213075897324
88000,0.0008924983031457486,0.8721402745190866
89000,0.0009021622522914259,0.8710671295507153
90000,0.0009071142882197136,0.8708971779479913
91000,0.0008949474120157326,0.8717898746887922
92000,0.0008878265928210037,0.872334739745165
93000,0.0008871687059788729,0.8723571710222765
94000,0.0008933543802174014,0.8725127275381345
95000,0.000878298522885759,0.8730302325909964
96000,0.0008788806745453158,0.8722414786982612
97000,0.0008810264733541455,0.8726912417185745
98000,0.0008842388677240623,0.8729565543600615
99000,0.0008841116954946883,0.8718729205920625
100000,0.0008848840023753821,0.8728016764876998
