Epoch,MSE,SSIM
1,7.300767503500341e-05,0.9825972727022217
2,7.05519503740662e-05,0.9830696691956402
3,6.562779329263375e-05,0.9836516450436437
4,6.434289038105032e-05,0.9837333291070754
5,6.39957392048942e-05,0.9838479912692127
6,6.39041637170977e-05,0.983902091315153
7,6.588558456055439e-05,0.98378818059668
8,6.53013399064775e-05,0.9838521325909066
9,6.203101116640496e-05,0.9840548244174158
10,6.175115409607947e-05,0.9840905247077019
11,6.369364381806566e-05,0.9838991325277999
12,6.402368409888249e-05,0.9837519181519361
13,6.291200307879493e-05,0.9840128303821488
14,6.145170463376441e-05,0.984128643095035
15,6.278711709264769e-05,0.9840386620384127
16,6.311472483861211e-05,0.984011327543141
17,6.172278945203206e-05,0.9841126812790907
18,6.0669460817917236e-05,0.9841864290392863
19,6.173581129949406e-05,0.9841740509211904
20,6.153444590612376e-05,0.9840607775514262
21,6.333246048225095e-05,0.9840480277900675
22,6.13262844009704e-05,0.9840972290051546
