Epoch,MSE,SSIM
0,4.796035381886204e-05,0.9852487421977488
1,4.487200262862755e-05,0.986274547429684
2,4.128150369241384e-05,0.987047057622432
3,4.007738081120727e-05,0.9873587975177732
4,4.014201190306519e-05,0.9873264115350562
5,3.829059820603074e-05,0.9878260291767037
6,3.88604863904646e-05,0.9879713415518169
7,3.925923022301916e-05,0.9877630332607871
8,3.665237072676396e-05,0.9883317916132484
9,3.7255798275076136e-05,0.9883187544875298
10,3.6176873780810673e-05,0.9884355229821632
11,3.613945504738333e-05,0.9884519649328289
12,3.590653185082831e-05,0.9885746763029281
13,3.628362078059769e-05,0.9886711734656658
14,3.589000028603186e-05,0.9885882828474828
15,3.685006413251831e-05,0.9885763075754073
16,3.5134409755741164e-05,0.9887789370328943
17,3.488699999594872e-05,0.9888769469306126
18,3.515853536918983e-05,0.9888957075664191
19,3.62130987246281e-05,0.9886957722852583
20,3.543544458873254e-05,0.9889472826769345
21,3.429317711802541e-05,0.9890507741790432
22,3.551690432096189e-05,0.9888881979635881
23,3.530502764211359e-05,0.9889491394571821
24,3.414595787715785e-05,0.9891082132151379
