Image Pair,SSIM,MSE,Mean SSIM,Mean MSE,Mean Time,Mean NegJ
68,0.9839921004159746,3.8101821731892065e-05,-,-,-,-
69,0.9854104397251554,3.5595358790996744e-05,-,-,-,-
70,0.9867804808039047,3.063347144615841e-05,-,-,-,-
71,0.987006293227393,2.8446543582179667e-05,-,-,-,-
72,0.9881437178391949,2.2692473278919526e-05,-,-,-,-
73,0.9869829737081908,2.5755832527355028e-05,-,-,-,-
74,0.986245949832141,3.188364996173794e-05,-,-,-,-
75,0.9832982299717025,5.9253763847666545e-05,-,-,-,-
76,0.9848282124184573,3.861866946821593e-05,-,-,-,-
77,0.9888298714918738,2.8128351657295317e-05,-,-,-,-
78,0.9881767906970068,2.6410775460124045e-05,-,-,-,-
79,0.9860171683515485,3.165056178880162e-05,-,-,-,-
80,0.9877658213899816,2.5601620453581224e-05,-,-,-,-
81,0.9879050932525214,5.3831924268292103e-05,-,-,-,-
82,0.9878288833983979,5.284108547688342e-05,-,-,-,-
83,0.9899722161254942,1.895500131826735e-05,-,-,-,-
84,0.9891710191199431,2.4235691076906903e-05,-,-,-,-
85,0.9877439663501282,2.452396862071964e-05,-,-,-,-
86,0.9856299635535781,4.5538304471524216e-05,-,-,-,-
87,0.9858169683975527,4.234905981563913e-05,-,-,-,-
88,0.9785496420412179,6.567425384381971e-05,-,-,-,-
89,0.9714079936019352,0.00013631296111796818,-,-,-,-
90,0.9697028026314217,0.0001948618435078901,-,-,-,-
91,0.9683556185049398,0.0002568517403253838,-,-,-,-
92,0.9740346186957928,0.00021954039027132925,-,-,-,-
93,0.9707119798124753,0.0002219516172863835,-,-,-,-
94,0.9751301246808626,0.0001446095144801772,-,-,-,-
95,0.9766732753858118,0.00010936751118534271,-,-,-,-
96,0.9781527718977353,8.266125456887019e-05,-,-,-,-
97,0.9734338104769997,0.00010198890369829732,-,-,-,-
98,0.9716453103513216,0.00011759178044953832,-,-,-,-
99,0.9724209222038723,0.00011014039979060688,-,-,-,-
100,0.9704417995574233,0.00013462933029480273,-,-,-,-
101,0.9701902414699877,0.0001226320551987671,-,-,-,-
102,0.9679241612020822,0.00017682857189886715,-,-,-,-
103,0.9710869681545655,0.00012177308351550734,-,-,-,-
104,0.9763027751263534,8.555855725573481e-05,-,-,-,-
105,0.9741559857025108,7.805919448662307e-05,-,-,-,-
106,0.9725163779304262,9.783665934181937e-05,-,-,-,-
107,0.973120762203957,0.00010029525802962253,-,-,-,-
108,0.9736648249365165,7.61932657180464e-05,-,-,-,-
109,0.9762592728890032,6.634238369118785e-05,-,-,-,-
110,0.9778818949163746,7.443722775236973e-05,-,-,-,-
111,0.9785987484336331,6.894799093574796e-05,-,-,-,-
112,0.976550919283703,7.557067926614691e-05,-,-,-,-
113,0.9777824433719217,6.467706609224583e-05,-,-,-,-
114,0.9787430363097867,6.258818410897135e-05,-,-,-,-
115,0.9819221391414975,4.915978058602677e-05,-,-,-,-
116,0.9784937599977559,6.168598963751568e-05,-,-,-,-
117,0.9767144371136073,7.537141315044497e-05,-,-,-,-
118,0.9769706801141433,7.946724675792593e-05,-,-,-,-
119,0.979210458870128,6.080320847474421e-05,-,-,-,-
120,0.9808382623302625,5.220494846836135e-05,-,-,-,-
121,0.9776515792866332,7.102283112821737e-05,-,-,-,-
122,0.9788857294126304,6.546094555120781e-05,-,-,-,-
123,0.9756075372031064,7.813648199782162e-05,-,-,-,-
124,0.976293446381769,7.635700113485939e-05,-,-,-,-
125,0.9782577854960333,6.69073387611731e-05,-,-,-,-
126,0.9829518907064172,4.00135367155699e-05,-,-,-,-
127,0.9772796995139021,7.070927973662398e-05,-,-,-,-
128,0.9763468121767542,7.651438761701163e-05,-,-,-,-
129,0.9774284228203973,7.544699054562725e-05,-,-,-,-
130,0.9778662866478218,8.349385001471172e-05,-,-,-,-
131,0.9783736613739836,6.691319869158574e-05,-,-,-,-
132,0.9855676826278584,3.68621437691517e-05,-,-,-,-
133,0.9860534278128654,3.2416005186168446e-05,-,-,-,-
134,0.9840973636245892,3.946591968320633e-05,-,-,-,-
135,0.9849116463655893,3.99556611416214e-05,-,-,-,-
136,0.9854536396749465,3.787447209715683e-05,-,-,-,-
137,0.9886421651909513,2.2563414163510457e-05,-,-,-,-
138,0.9843959522621316,4.04704336165011e-05,-,-,-,-
139,0.9845579489351438,3.925126817212935e-05,-,-,-,-
140,0.9849143573638832,4.618518902647996e-05,-,-,-,-
141,0.9854810140242896,4.133587710043165e-05,-,-,-,-
142,0.9873715867319086,2.9831642969993453e-05,-,-,-,-
143,0.9887951920174641,2.2194916928024246e-05,-,-,-,-
144,0.9891642230139537,2.0039613096709956e-05,-,-,-,-
145,0.9875554593358489,2.4410782247332856e-05,-,-,-,-
146,0.987963377702515,2.5753146490162905e-05,-,-,-,-
147,0.9890937010481541,2.2442779479162e-05,-,-,-,-
148,0.9911937696488675,1.4389693828216578e-05,-,-,-,-
149,0.9880749184068915,2.5640082249959544e-05,-,-,-,-
150,0.9890029972804433,2.2463292182820515e-05,-,-,-,-
151,0.9890718290533218,2.264485423868912e-05,-,-,-,-
152,0.9888635560234564,2.4077694485920388e-05,-,-,-,-
153,0.9904593610976564,1.7534981994776993e-05,-,-,-,-
154,0.991204078094997,1.468334372869544e-05,-,-,-,-
155,0.9917192105429642,1.2484328120621058e-05,-,-,-,-
156,0.9898101896067225,1.6855741634761636e-05,-,-,-,-
157,0.9906276307258957,1.53380422610621e-05,-,-,-,-
158,0.9911128029958572,1.4684686730127274e-05,-,-,-,-
159,0.9931498715460143,9.332446484052187e-06,-,-,-,-
160,0.9908694341175052,1.394879194428191e-05,-,-,-,-
161,0.9906694462888522,1.5139874584871157e-05,-,-,-,-
162,0.9912362503508727,1.5188714418353056e-05,-,-,-,-
163,0.9906625483423098,1.694279867986832e-05,-,-,-,-
