Image Pair,MSE,SSIM,Mean MSE,Mean SSIM
3,0.00035084252398114577,0.9263195531569488,-,-
4,0.0003429274770571203,0.9321385018027774,-,-
5,0.00030608029653033547,0.9355471792152039,-,-
6,0.00029227188236462335,0.9401946435509123,-,-
7,0.0003764012980565933,0.9175985092327459,-,-
8,0.00035592938483747845,0.930635495519024,-,-
9,0.00045389383521967405,0.9143133768897004,-,-
0,0.00028673277986238186,0.9310827493100918,-,-
1,0.00023738761487286113,0.9412429444133202,-,-
2,0.0003057056387832674,0.9381074582600777,-,-
3,0.00035231197310517994,0.9391029395416512,-,-
4,0.0002823503845861535,0.9325620976392662,-,-
5,0.0002788899537559995,0.935702907185271,-,-
6,0.00024450612242952764,0.9424533955657207,-,-
7,0.00016531080178483403,0.9538475227218232,-,-
8,0.00033079509397080026,0.9297968482691914,-,-
9,0.00036267453461537953,0.925260975090751,-,-
0,0.0005542756450144095,0.9266869190617659,-,-
1,0.00034484837412265227,0.9333146690093316,-,-
2,0.0002936068627260146,0.9385050746369556,-,-
3,0.00013774976361300513,0.9592621710883102,-,-
4,0.000131741046194669,0.9611144883938335,-,-
5,0.0001397478139743233,0.956475995901843,-,-
6,0.00013659948555986843,0.9578507815383671,-,-
7,0.0001268205247721968,0.9600944854606024,-,-
8,8.527782815838363e-05,0.9691866457806625,-,-
9,0.00017216584197663905,0.9488356625147173,-,-
0,0.0001560210166200953,0.9520665835660903,-,-
1,0.00020597353657685554,0.9505971369497354,-,-
2,0.00015621410128589363,0.9572858819367415,-,-
3,0.0001153431787808024,0.9648056244130924,-,-
4,8.383491520854819e-05,0.9700769402698849,-,-
5,7.88917372154064e-05,0.9676702060522715,-,-
6,9.129534835320393e-05,0.9640716787269853,-,-
7,9.778153663866901e-05,0.9672355802588652,-,-
8,7.730262001965057e-05,0.9718342781334695,-,-
9,5.8029661513745565e-05,0.9751594733394233,-,-
0,0.00010179086649535587,0.9638897847475075,-,-
1,9.77835349457747e-05,0.9667614344005331,-,-
2,8.8733531313496e-05,0.9681492726126056,-,-
3,8.635058351778337e-05,0.9690113528745203,-,-
4,6.787181527851754e-05,0.9752754108772275,-,-
5,5.015113009475524e-05,0.9788413247492868,-,-
6,4.566963364134247e-05,0.9783730674893697,-,-
7,7.854695343137876e-05,0.970019065054069,-,-
8,8.552636599248741e-05,0.973871566541732,-,-
9,4.862173160742891e-05,0.9781809511794128,-,-
0,3.326633484970918e-05,0.9845419189485032,-,-
1,5.600080655455683e-05,0.9722742677853946,-,-
2,6.547599845712306e-05,0.9709690531024731,-,-
3,5.033774666852026e-05,0.9787839867356347,-,-
4,5.673263091499002e-05,0.97681376607718,-,-
5,3.3756519576689175e-05,0.9840070588588332,-,-
6,7.154696515278137e-05,0.9776054071513541,-,-
7,0.00010592393678135508,0.9723373838032049,-,-
8,0.00016312386275262912,0.965440406091033,-,-
9,8.104400231522541e-05,0.9773374062284961,-,-
0,5.920888075270252e-05,0.9806709803392171,-,-
1,5.3344549400521316e-05,0.9819250208479908,-,-
2,7.788919841773707e-05,0.9743872600845486,-,-
3,7.872409294205512e-05,0.9714734461899747,-,-
4,5.583335131929161e-05,0.9808849072674426,-,-
5,9.184370733409015e-05,0.9790631870587329,-,-
6,4.570133884821907e-05,0.9836978046976709,-,-
7,0.00013175572397063475,0.9843282819808065,-,-
8,0.00010042230688407513,0.981889086635604,-,-
9,9.810677549208821e-05,0.9761359616659764,-,-
0,5.0279163334788604e-05,0.9841808436751672,-,-
1,7.32561407747627e-05,0.9864146328305249,-,-
2,4.4613004840776246e-05,0.9885205343289155,-,-
3,7.184827251140787e-05,0.9815812335613833,-,-
4,4.4866843610492654e-05,0.9811795947975234,-,-
5,6.904093712240317e-05,0.9830150286904961,-,-
6,6.450702739003356e-05,0.9855540719825359,-,-
7,5.393221345383572e-05,0.9881687643190556,-,-
8,0.0008352189359238936,0.8619971321526597,-,-
9,0.0014359804652763874,0.8499025147423682,-,-
0,0.0014702200942869545,0.8418446768906361,-,-
1,0.001250536918283825,0.8641344419277902,-,-
2,0.001005159364153456,0.8726051275002594,-,-
3,0.0005536565915810263,0.9023343283166066,-,-
4,0.00038606272021640946,0.896974733200962,-,-
5,0.0004286334604242107,0.8910999438027218,-,-
6,0.0007534141829981244,0.8614923546415686,-,-
7,0.0004275947087905402,0.900742465227166,-,-
8,0.00035249872853631436,0.9110383035452045,-,-
9,0.0008669115165674002,0.8394080736382844,-,-
0,0.000511029156802929,0.8557915901470873,-,-
1,0.0009090338053166481,0.8304626968481044,-,-
2,0.001113842768229632,0.799613319461657,-,-
3,0.0011706398897983604,0.7936555467174828,-,-
4,0.0008570334053695683,0.8372346533298594,-,-
5,0.00050474995360521,0.8948926919899685,-,-
6,0.000929578844372218,0.8845151597810171,-,-
7,0.0005512175165577467,0.8828197288147047,-,-
8,0.0004828846654569691,0.8748396928670974,-,-
9,0.000542691454007443,0.8878848639147838,-,-
0,0.0009230862806444673,0.8540172834554922,-,-
1,0.0005157644724054743,0.8628339099835479,-,-
2,0.0005583727059873174,0.8693161073814185,-,-
3,0.00044886126687421375,0.8583598097526502,-,-
4,0.0004089624580597667,0.8732066226367563,-,-
5,0.0006664618181950804,0.8818030010165622,-,-
6,0.00043097393234495186,0.910708207007435,-,-
7,0.00039033837526414246,0.9139626967793615,-,-
8,0.00048006191051088554,0.8836431092592842,-,-
9,0.0012503542209272634,0.8516332163451291,-,-
0,0.0006896460593965704,0.8776819316240428,-,-
1,0.0005254972101271838,0.8635605322859481,-,-
2,0.0012235932703899047,0.8642245564216855,-,-
3,0.000580734838437523,0.8704275664470974,-,-
4,0.0005489451308229272,0.8861900559305125,-,-
5,0.00035516293437015895,0.911863046276603,-,-
6,0.00034961129906015045,0.9160857886800469,-,-
7,0.0004326819850013917,0.9098409912744728,-,-
8,0.0011350936340746916,0.8635082873758535,-,-
9,0.0015940437945762013,0.8353019944984756,-,-
0,0.0018907221030731646,0.8472464766928449,-,-
1,0.0013804239799930932,0.8668172986482054,-,-
2,0.0007534416320849655,0.8889622419901687,-,-
3,0.0006125365272370591,0.8748558194039388,-,-
4,0.0005772008694473463,0.8676024215468322,-,-
5,0.0004840735578783553,0.8737822976846557,-,-
6,0.0005284889761437573,0.8999287497393318,-,-
7,0.00034199465899405613,0.9174061506524169,-,-
