Epoch,MSE,SSIM
1,0.00018740661250030632,0.978598938161454
2,0.00017422795426924503,0.9787880118019149
3,0.0001695278705733808,0.9790950948237046
4,0.00016526173728825764,0.9795024379761849
5,0.00016269333159060073,0.9794630123726786
6,0.00015915274934956455,0.9794643978148239
7,0.00015843663812087423,0.9796723903627628
8,0.00015640010423862864,0.9795787839022093
9,0.00015532008514261515,0.9796513938711638
10,0.00015490242586500353,0.9796295638728258
11,0.00015395035072342917,0.9796711437731647
12,0.00015272988565949124,0.9796873915253249
13,0.00015344619806181218,0.9795106042501488
14,0.00015178139376184786,0.9794870830042229
