Epoch,MSE,SSIM
1,0.00018171684323659126,0.9781938074748623
2,0.00016962770774997345,0.9786419583132762
3,0.00016145653777569982,0.9790633508337266
4,0.00015784134560526786,0.9792463757261235
5,0.00015313964003565953,0.9792584793388236
6,0.00015131878785497102,0.9792323052527248
7,0.0001495898833732469,0.979403774236022
8,0.0001484492078299569,0.9794814289491346
9,0.00014856566035456405,0.9796119754805457
10,0.00015041721554479856,0.9793761664866819
11,0.00014741676595636673,0.9795471416289252
12,0.00014701941312956435,0.9795558209879351
13,0.00014608422581809393,0.9796875872243256
14,0.00014464090575161122,0.9797056603601272
